   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
    1     119.931450      -1.791360      21.335800     0.020   299.165    81.378   -33.856    34.908    56.578  -169.652   -170.00    -10.00    0
    2     119.928307      -1.700980      21.335800     0.044   303.356    83.772   -33.629    37.483    56.596  -172.533   -160.00    -10.00    0
    3     119.925179      -1.610590      21.335800     0.080   307.953    86.724   -29.610    39.813    60.443  -176.234   -150.00    -10.00    0
    4     119.922043      -1.520210      21.335800     0.121   134.003    81.098    15.723    41.509    74.472   170.758   -140.00    -10.00    0
    5     119.918907      -1.429830      21.335800     0.154   136.103    71.578     2.348    45.361    87.773   161.563   -130.00    -10.00    0
    6     119.915771      -1.339450      21.335800     0.178   136.102    73.674    -5.056   227.527    85.148  -163.614   -120.00    -10.00    0
    7     119.912643      -1.249070      21.335800     0.192   135.292    74.682   -11.750   228.438    78.673  -164.370   -110.00    -10.00    0
    8     119.909500      -1.158690      21.335800     0.188   134.380    76.068   -16.488   228.456    74.010  -165.496   -100.00    -10.00    0
    9     119.906372      -1.068310      21.335800     0.167   134.318    78.356   -20.500   228.634    69.940  -167.592    -90.00    -10.00    0
   10     119.903236      -0.977920      21.335800     0.137   134.116    78.162   -27.013   230.086    63.607  -166.761    -80.00    -10.00    0
   11     119.900101      -0.887540      21.335800     0.104   136.260    80.137   -30.813   232.093    59.690  -168.556    -70.00    -10.00    0
   12     119.896973      -0.797160      21.335800     0.071   149.122    87.234   -23.298   240.313    66.731  -176.989    -60.00    -10.00    0
   13     119.893837      -0.706780      21.335800     0.073   346.335    68.995   -12.067    80.717    78.746  -158.563    -50.00    -10.00    0
   14     119.890701      -0.616400      21.335800     0.095   353.789    76.152   -16.465    87.836    74.027  -165.584    -40.00    -10.00    0
   15     119.887573      -0.526020      21.335800     0.128    91.016    75.140  -173.530   359.350    83.747   -14.951    -30.00    -10.00    0
   16     119.884438      -0.435630      21.335800     0.161    90.784    82.264  -177.957     0.509    87.975    -7.741    -20.00    -10.00    0
   17     119.881310      -0.345250      21.335800     0.180   359.781    89.487    -2.220    89.801    87.780  -179.487    -10.00    -10.00    0
   18     119.878166      -0.254870      21.335800     0.188   179.045    87.261    -3.215   269.199    86.789  -177.257      0.00    -10.00    0
   19     119.875038      -0.164490      21.335800     0.186   178.052    84.381    -7.613   268.802    82.424  -174.332     10.00    -10.00    0
   20     119.871902      -0.074100      21.335800     0.170   177.434    83.761    -9.036   268.424    81.018  -173.683     20.00    -10.00    0
   21     119.868759       0.016280      21.335800     0.140   177.975    84.311    -4.289   268.401    85.732  -174.295     30.00    -10.00    0
   22     119.865623       0.106660      21.335800     0.103   177.318    84.077     3.166    86.991    86.851   174.068     40.00    -10.00    0
   23     119.862480       0.197040      21.335800     0.059   176.307    85.647     9.416    85.586    80.612   175.588     50.00    -10.00    0
   24     119.899261      -1.792490      12.000000     0.027   301.349    76.919   -27.371    38.032    63.396  -165.338   -170.00      0.00    0
   25     119.896133      -1.702110      12.000000     0.057   305.867    83.865   -25.857    38.832    64.302  -173.189   -160.00      0.00    0
   26     119.892990      -1.611730      12.000000     0.100   131.162    88.764    20.930    40.690    69.075   178.677   -150.00      0.00    0
   27     119.889862      -1.521340      12.000000     0.152   134.983    78.037     8.229    43.266    81.951   167.917   -140.00      0.00    0
   28     119.886719      -1.430960      12.000000     0.197   135.713    73.076    -0.881   225.969    89.157  -163.075   -130.00      0.00    0
   29     119.883591      -1.340580      12.000000     0.232   135.858    74.095    -6.949   227.771    83.318  -163.983   -120.00      0.00    0
