   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
    1     0.020     119.931450      -1.791360      21.335800     10.00     10.00    34.908    56.578  -169.652   -170.00    -10.00    0
    2     0.044     119.928307      -1.700980      21.335800     10.00     10.00    37.483    56.596  -172.533   -160.00    -10.00    0
    3     0.080     119.925179      -1.610590      21.335800     10.00     10.00    39.813    60.443  -176.234   -150.00    -10.00    0
    4     0.121     119.922043      -1.520210      21.335800     10.00     10.00   134.003    81.098    15.723   -140.00    -10.00    0
    5     0.154     119.918907      -1.429830      21.335800     10.00     10.00   136.103    71.578     2.348   -130.00    -10.00    0
    6     0.178     119.915771      -1.339450      21.335800     10.00     10.00   136.102    73.674    -5.056   -120.00    -10.00    0
    7     0.192     119.912643      -1.249070      21.335800     10.00     10.00   135.292    74.682   -11.750   -110.00    -10.00    0
    8     0.188     119.909500      -1.158690      21.335800     10.00     10.00   134.380    76.068   -16.488   -100.00    -10.00    0
    9     0.167     119.906372      -1.068310      21.335800     10.00     10.00   134.318    78.356   -20.500    -90.00    -10.00    0
   10     0.137     119.903236      -0.977920      21.335800     10.00     10.00   134.116    78.162   -27.013    -80.00    -10.00    0
   11     0.104     119.900101      -0.887540      21.335800     10.00     10.00   136.260    80.137   -30.813    -70.00    -10.00    0
   12     0.071     119.896973      -0.797160      21.335800     10.00     10.00   149.122    87.234   -23.298    -60.00    -10.00    0
   13     0.073     119.893837      -0.706780      21.335800     10.00     10.00   346.335    68.995   -12.067    -50.00    -10.00    0
   14     0.095     119.890701      -0.616400      21.335800     10.00     10.00   353.789    76.152   -16.465    -40.00    -10.00    0
   15     0.128     119.887573      -0.526020      21.335800     10.00     10.00   359.350    83.747   -14.951    -30.00    -10.00    0
   16     0.161     119.884438      -0.435630      21.335800     10.00     10.00     0.509    87.975    -7.741    -20.00    -10.00    0
   17     0.180     119.881310      -0.345250      21.335800     10.00     10.00   359.781    89.487    -2.220    -10.00    -10.00    0
   18     0.188     119.878166      -0.254870      21.335800     10.00     10.00   179.045    87.261    -3.215      0.00    -10.00    0
   19     0.186     119.875038      -0.164490      21.335800     10.00     10.00   178.052    84.381    -7.613     10.00    -10.00    0
   20     0.170     119.871902      -0.074100      21.335800     10.00     10.00   177.434    83.761    -9.036     20.00    -10.00    0
   21     0.140     119.868759       0.016280      21.335800     10.00     10.00   177.975    84.311    -4.289     30.00    -10.00    0
   22     0.103     119.865623       0.106660      21.335800     10.00     10.00   177.318    84.077     3.166     40.00    -10.00    0
   23     0.059     119.862480       0.197040      21.335800     10.00     10.00   176.307    85.647     9.416     50.00    -10.00    0
   24     0.027     119.899261      -1.792490      12.000000     10.00     10.00    38.032    63.396  -165.338   -170.00      0.00    0
   25     0.057     119.896133      -1.702110      12.000000     10.00     10.00    38.832    64.302  -173.189   -160.00      0.00    0
   26     0.100     119.892990      -1.611730      12.000000     10.00     10.00    40.690    69.075   178.677   -150.00      0.00    0
   27     0.152     119.889862      -1.521340      12.000000     10.00     10.00   134.983    78.037     8.229   -140.00      0.00    0
