   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
   52     29.00      0.00     1.451     119.931450      -1.791360      21.335800      5.00      5.00     0.690    65.078     9.720   -170.00    -10.00
   53     29.00      0.00     1.526     119.929878      -1.746170      21.335800      5.00      5.00     0.869    72.258    10.000   -165.00    -10.00
   54     28.00      0.00     1.469     119.928307      -1.700980      21.335800      5.00      5.00   359.950    80.065     7.096   -160.00    -10.00
   55     27.00      0.00     1.316     119.926743      -1.655790      21.335800      5.00      5.00     0.231    86.808     5.013   -155.00    -10.00
   56     26.00      0.00     1.090     119.925179      -1.610590      21.335800      5.00      5.00   180.646    89.418    -3.588   -150.00    -10.00
   57     26.00      0.00     0.849     119.923607      -1.565400      21.335800      5.00      5.00   179.428    83.817    -2.233   -145.00    -10.00
   58     24.00      0.00     0.681     119.922043      -1.520210      21.335800      5.00      5.00   172.548    80.328     5.340   -140.00    -10.00
   59     24.00      0.00     0.673     119.920471      -1.475020      21.335800      5.00      5.00   163.372    83.223    15.304   -135.00    -10.00
   60     23.00      0.00     0.796     119.918907      -1.429830      21.335800      5.00      5.00   158.284    87.887    19.123   -130.00    -10.00
   61     22.00      0.00     0.954     119.917343      -1.384640      21.335800      5.00      5.00   155.531    89.880    13.573   -125.00    -10.00
   62     21.00      0.00     1.121     119.915771      -1.339450      21.335800      5.00      5.00   334.550    87.055    -8.635   -120.00    -10.00
   63     21.00      0.00     1.264     119.914200      -1.294260      21.335800      5.00      5.00   335.125    89.026    -9.684   -115.00    -10.00
   64     19.00      0.00     1.361     119.912643      -1.249070      21.335800      5.00      5.00   158.497    89.421    16.200   -110.00    -10.00
   65     18.00      0.00     1.377     119.911072      -1.203880      21.335800      5.00      5.00   166.138    82.145    26.075   -105.00    -10.00
   66     17.00      0.00     1.434     119.909500      -1.158690      21.335800      5.00      5.00   178.130    76.111    40.964   -100.00    -10.00
   67     17.00      0.00     1.465     119.907944      -1.113500      21.335800      5.00      5.00   184.613    77.589    46.857    -95.00    -10.00
   68     16.00      0.00     1.456     119.906372      -1.068310      21.335800      5.00      5.00   182.608    85.982    45.893    -90.00    -10.00
   69     15.00      0.00     1.393     119.904800      -1.023120      21.335800      5.00      5.00   357.637    86.149   -40.237    -85.00    -10.00
   70     14.00      0.00     1.454     119.903236      -0.977920      21.335800      5.00      5.00   344.194    67.875   -27.488    -80.00    -10.00
   71     13.00      0.00     1.563     119.901672      -0.932730      21.335800      5.00      5.00   338.023    64.521   -26.617    -75.00    -10.00
   72     12.00      0.00     1.738     119.900101      -0.887540      21.335800      5.00      5.00   332.785    64.904   -27.514    -70.00    -10.00
   73     11.00      3.00     1.859     119.898537      -0.842350      21.335800      5.00      5.00   331.879    68.380   -22.270    -65.00    -10.00
   74     11.00      5.00     1.972     119.896973      -0.797160      21.335800      5.00      5.00   334.983    80.875    -8.206    -60.00    -10.00
   75     10.00      5.00     2.135     119.895401      -0.751970      21.335800      5.00      5.00   156.976    88.211    -1.557    -55.00    -10.00
   76      9.00      5.00     2.200     119.893837      -0.706780      21.335800      5.00      5.00   159.217    86.448    -6.514    -50.00    -10.00
   77      8.00      3.00     2.202     119.892273      -0.661590      21.335800      5.00      5.00   161.813    86.153   -12.391    -45.00    -10.00
   78      7.00      0.00     2.140     119.890701      -0.616400      21.335800      5.00      5.00   345.698    89.153    17.061    -40.00    -10.00
   79      6.00      0.00     2.070     119.889137      -0.571210      21.335800      5.00      5.00   350.228    80.093    17.516    -35.00    -10.00
   80      6.00      1.00     1.967     119.887573      -0.526020      21.335800      5.00      5.00   354.637    72.896    13.850    -30.00    -10.00
   81      5.00      1.00     1.919     119.886002      -0.480820      21.335800      5.00      5.00   358.561    67.018     9.477    -25.00    -10.00
   82      4.00      0.00     1.904     119.884438      -0.435630      21.335800      5.00      5.00     2.943    64.783     8.609    -20.00    -10.00
   83      3.00      0.00     1.962     119.882874      -0.390440      21.335800      5.00      5.00     3.728    66.477     5.658    -15.00    -10.00
   84      2.00      2.00     2.016     119.881310      -0.345250      21.335800      5.00      5.00     2.768    71.522     1.918    -10.00    -10.00
   85      2.00      2.00     1.996     119.879738      -0.300060      21.335800      5.00      5.00     2.492    75.220    -0.182     -5.00    -10.00
   86      2.00      2.00     1.945     119.878166      -0.254870      21.335800      5.00      5.00     4.525    79.090    -0.203      0.00    -10.00
   87      2.00      3.00     1.860     119.876602      -0.209680      21.335800      5.00      5.00     7.946    81.545    -1.693      5.00    -10.00
   88      3.00      3.00     1.698     119.875038      -0.164490      21.335800      5.00      5.00    11.614    87.098    -4.922     10.00    -10.00
   89      3.00      1.00     1.445     119.873466      -0.119300      21.335800      5.00      5.00   193.734    85.842    11.337     15.00    -10.00
   90      4.00      0.00     1.099     119.871902      -0.074100      21.335800      5.00      5.00   205.511    65.507    48.135     20.00    -10.00
   91      5.00      0.00     0.946     119.870331      -0.028910      21.335800      5.00      5.00    61.647    27.039   106.557     25.00    -10.00
   92      5.00      0.00     0.825     119.868759       0.016280      21.335800      5.00      5.00   217.677    70.338    93.252     30.00    -10.00
   93      7.00      0.00     0.859     119.867188       0.061470      21.335800      5.00      5.00   204.863    70.056   105.191     35.00    -10.00
   94      7.00      0.00     0.836     119.865623       0.106660      21.335800      5.00      5.00   194.538    67.871   110.135     40.00    -10.00
   95      9.00      0.00     0.614     119.864052       0.151850      21.335800      5.00      5.00   175.990    63.760   113.417     45.00    -10.00
   96      9.00      0.00     0.375     119.862480       0.197040      21.335800      5.00      5.00   151.262    57.207   116.904     50.00    -10.00
   97     32.00      0.00     0.570     119.920059      -1.927490      16.667900      5.00      5.00   353.801    80.332   -10.161   -185.00     -5.00
   98     31.00      0.00     1.103     119.918488      -1.882300      16.667900      5.00      5.00   354.408    77.677    -4.136   -180.00     -5.00
   99     30.00      2.00     1.550     119.916924      -1.837110      16.667900      5.00      5.00   356.703    77.480     2.303   -175.00     -5.00
