   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
    1     37.00      0.00     0.199     119.952240      -1.926360      26.003710      5.00      5.00    49.927    78.470  -111.101   -185.00    -15.00      0.50
    2     36.00      0.00     0.309     119.950684      -1.881170      26.003710      5.00      5.00    48.828    87.948   -95.326   -180.00    -15.00      0.50
    3     35.00      0.00     0.529     119.949112      -1.835980      26.003710      5.00      5.00    77.604     2.105   113.145   -175.00    -15.00      0.50
    4     35.00      0.00     0.547     119.947540      -1.790790      26.003710      5.00      5.00     9.486     5.482    46.600   -170.00    -15.00      0.50
    5     34.00      0.00     0.531     119.945969      -1.745600      26.003710      5.00      5.00     0.150     9.250    42.787   -165.00    -15.00      0.50
    6     32.00      0.00     0.413     119.944397      -1.700410      26.003710      5.00      5.00     1.947    13.106    25.262   -160.00    -15.00      0.50
    7     32.00      0.00     0.392     119.942841      -1.655220      26.003710      5.00      5.00    11.482    18.082    11.841   -155.00    -15.00      0.50
    8     30.00      0.00     0.396     119.941269      -1.610030      26.003710      5.00      5.00    25.707    44.627    25.956   -150.00    -15.00      0.50
    9     29.00      0.00     0.503     119.939697      -1.564840      26.003710      5.00      5.00    20.963    66.096    40.712   -145.00    -15.00      0.50
   10     28.00      0.00     0.588     119.938133      -1.519650      26.003710      5.00      5.00    20.796    67.956    41.949   -140.00    -15.00      0.50
   11     27.00      0.00     0.577     119.936562      -1.474460      26.003710      5.00      5.00    18.887    70.435    38.957   -135.00    -15.00      0.50
   12     26.00      0.00     0.591     119.934998      -1.429270      26.003710      5.00      5.00    16.680    80.196    45.869   -130.00    -15.00      0.50
   13     26.00      0.00     0.632     119.933434      -1.384080      26.003710      5.00      5.00    26.586    77.490    61.187   -125.00    -15.00      0.50
   14     24.00      0.00     0.463     119.931862      -1.338890      26.003710      5.00      5.00   180.158    86.201   -34.079   -120.00    -15.00      0.50
   15     24.00      0.00     0.438     119.930290      -1.293690      26.003710      5.00      5.00   164.447    73.159    -2.319   -115.00    -15.00      0.50
   16     22.00      0.00     0.589     119.928726      -1.248500      26.003710      5.00      5.00   159.135    76.757     8.554   -110.00    -15.00      0.50
   17     22.00      0.00     0.685     119.927162      -1.203310      26.003710      5.00      5.00   337.707    82.242     5.195   -105.00    -15.00      0.50
   18     20.00      0.00     0.772     119.925591      -1.158120      26.003710      5.00      5.00   342.636    74.270    11.559   -100.00    -15.00      0.50
   19     19.00      0.00     0.742     119.924026      -1.112930      26.003710      5.00      5.00   348.841    79.007     6.438    -95.00    -15.00      0.50
   20     18.00      0.00     0.772     119.922462      -1.067740      26.003710      5.00      5.00   175.229    83.979    14.276    -90.00    -15.00      0.50
   21     17.00      0.00     0.894     119.920891      -1.022550      26.003710      5.00      5.00   186.328    76.627    37.624    -85.00    -15.00      0.50
   22     16.00      0.00     1.056     119.919319      -0.977360      26.003710      5.00      5.00   182.934    81.527    41.796    -80.00    -15.00      0.50
   23     15.00      0.00     1.092     119.917763      -0.932170      26.003710      5.00      5.00   181.226    83.643    41.214    -75.00    -15.00      0.50
   24     14.00      0.00     1.044     119.916191      -0.886980      26.003710      5.00      5.00   357.334    89.031   -37.081    -70.00    -15.00      0.50
   25     14.00      0.00     1.007     119.914619      -0.841790      26.003710      5.00      5.00   353.026    76.779   -24.885    -65.00    -15.00      0.50
   26     14.00      0.00     0.924     119.913063      -0.796600      26.003710      5.00      5.00   351.989    73.656   -16.284    -60.00    -15.00      0.50
   27     11.00      0.00     0.908     119.911491      -0.751410      26.003710      5.00      5.00   345.448    69.375   -12.492    -55.00    -15.00      0.50
   28     11.00      0.00     0.987     119.909920      -0.706210      26.003710      5.00      5.00   339.897    69.006   -11.257    -50.00    -15.00      0.50
   29      9.00      0.00     1.047     119.908363      -0.661020      26.003710      5.00      5.00   339.534    81.223     0.627    -45.00    -15.00      0.50
   30      8.00      0.00     1.025     119.906792      -0.615830      26.003710      5.00      5.00   159.779    88.645   -13.905    -40.00    -15.00      0.50
   31      7.00      0.00     1.034     119.905220      -0.570640      26.003710      5.00      5.00   345.092    85.121    21.024    -35.00    -15.00      0.50
   32      6.00      0.00     1.004     119.903664      -0.525450      26.003710      5.00      5.00   350.704    77.506    21.972    -30.00    -15.00      0.50
