   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
   49      1.00      0.00     0.000     119.936150      -1.926930      21.335800      5.00      5.00   180.000    45.000    90.000   -185.00    -10.00      0.50
   50      1.00      0.00     0.000     119.934578      -1.881740      21.335800      5.00      5.00   180.000    45.000    90.000   -180.00    -10.00      0.50
   51      1.00      0.00     0.000     119.933006      -1.836550      21.335800      5.00      5.00   180.000    45.000    90.000   -175.00    -10.00      0.50
   52      1.00      0.00     0.000     119.931450      -1.791360      21.335800      5.00      5.00   180.000    45.000    90.000   -170.00    -10.00      0.50
   53      1.00      0.00     0.000     119.929878      -1.746170      21.335800      5.00      5.00   180.000    45.000    90.000   -165.00    -10.00      0.50
   54     39.00      0.00     0.070     119.928307      -1.700980      21.335800      5.00      5.00    68.797    86.306   -93.570   -160.00    -10.00      0.50
   55     39.00      0.00     0.052     119.926743      -1.655790      21.335800      5.00      5.00   178.270    66.101  -168.528   -155.00    -10.00      0.50
   56     37.00      0.00     0.182     119.925179      -1.610590      21.335800      5.00      5.00   217.432    48.259  -134.095   -150.00    -10.00      0.50
   57     37.00      0.00     0.209     119.923607      -1.565400      21.335800      5.00      5.00   110.353    64.578   -47.962   -145.00    -10.00      0.50
   58     35.00      0.00     0.212     119.922043      -1.520210      21.335800      5.00      5.00   324.623    74.832   -10.725   -140.00    -10.00      0.50
   59     34.00      0.00     0.364     119.920471      -1.475020      21.335800      5.00      5.00   345.951    58.574     7.552   -135.00    -10.00      0.50
   60     33.00      0.00     0.699     119.918907      -1.429830      21.335800      5.00      5.00     5.821    52.174    21.909   -130.00    -10.00      0.50
   61     32.00      0.00     0.936     119.917343      -1.384640      21.335800      5.00      5.00    10.430    60.542    22.614   -125.00    -10.00      0.50
   62     32.00      0.00     1.009     119.915771      -1.339450      21.335800      5.00      5.00    12.111    67.822    27.221   -120.00    -10.00      0.50
   63     29.00      0.00     1.019     119.914200      -1.294260      21.335800      5.00      5.00     6.832    75.770    23.195   -115.00    -10.00      0.50
   64     28.00      0.00     1.098     119.912643      -1.249070      21.335800      5.00      5.00    11.936    71.198    40.407   -110.00    -10.00      0.50
   65     27.00      0.00     1.064     119.911072      -1.203880      21.335800      5.00      5.00    20.554    66.220    61.342   -105.00    -10.00      0.50
   66     25.00      0.00     1.100     119.909500      -1.158690      21.335800      5.00      5.00   162.775    59.423    -0.173   -100.00    -10.00      0.50
   67     24.00      0.00     1.391     119.907944      -1.113500      21.335800      5.00      5.00   156.599    65.946    -5.916    -95.00    -10.00      0.50
   68     23.00      0.00     1.694     119.906372      -1.068310      21.335800      5.00      5.00   156.418    75.764    -7.445    -90.00    -10.00      0.50
   69     23.00      2.00     1.887     119.904800      -1.023120      21.335800      5.00      5.00   159.607    80.117    -4.854    -85.00    -10.00      0.50
   70     20.00      3.00     1.898     119.903236      -0.977920      21.335800      5.00      5.00   168.128    84.520     3.847    -80.00    -10.00      0.50
   71     20.00      4.00     1.925     119.901672      -0.932730      21.335800      5.00      5.00   353.822    89.467   -14.405    -75.00    -10.00      0.50
