   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
    1     0.000     119.952240      -1.926360      26.003710      5.00      5.00   180.000    45.000    90.000   -185.00    -15.00    0
    2     0.000     119.950684      -1.881170      26.003710      5.00      5.00   180.000    45.000    90.000   -180.00    -15.00    0
    3     0.000     119.949112      -1.835980      26.003710      5.00      5.00   180.000    45.000    90.000   -175.00    -15.00    0
    4     0.000     119.947540      -1.790790      26.003710      5.00      5.00   180.000    45.000    90.000   -170.00    -15.00    0
    5     0.000     119.945969      -1.745600      26.003710      5.00      5.00   180.000    45.000    90.000   -165.00    -15.00    0
    6     0.066     119.944397      -1.700410      26.003710      5.00      5.00   192.667    87.986   -78.482   -160.00    -15.00    0
    7     0.170     119.942841      -1.655220      26.003710      5.00      5.00   214.863    19.463  -139.532   -155.00    -15.00    0
    8     0.250     119.941269      -1.610030      26.003710      5.00      5.00   206.701    24.816  -161.007   -150.00    -15.00    0
    9     0.257     119.939697      -1.564840      26.003710      5.00      5.00   213.818    39.582  -155.312   -145.00    -15.00    0
   10     0.240     119.938133      -1.519650      26.003710      5.00      5.00   199.769    41.259  -178.884   -140.00    -15.00    0
   11     0.236     119.936562      -1.474460      26.003710      5.00      5.00   344.730    30.994    15.133   -135.00    -15.00    0
   12     0.384     119.934998      -1.429270      26.003710      5.00      5.00     2.401    49.842    25.080   -130.00    -15.00    0
   13     0.507     119.933434      -1.384080      26.003710      5.00      5.00     6.293    62.286    28.318   -125.00    -15.00    0
   14     0.596     119.931862      -1.338890      26.003710      5.00      5.00     8.984    67.738    32.700   -120.00    -15.00    0
   15     0.654     119.930290      -1.293690      26.003710      5.00      5.00     6.150    76.057    43.156   -115.00    -15.00    0
   16     0.756     119.928726      -1.248500      26.003710      5.00      5.00    22.174    68.036    62.756   -110.00    -15.00    0
   17     0.753     119.927162      -1.203310      26.003710      5.00      5.00    25.531    70.493    75.777   -105.00    -15.00    0
   18     0.823     119.925591      -1.158120      26.003710      5.00      5.00   163.592    32.458    18.256   -100.00    -15.00    0
   19     0.932     119.924026      -1.112930      26.003710      5.00      5.00   157.438    49.269     0.720    -95.00    -15.00    0
   20     0.912     119.922462      -1.067740      26.003710      5.00      5.00   157.980    69.390    -5.214    -90.00    -15.00    0
   21     0.999     119.920891      -1.022550      26.003710      5.00      5.00   161.031    78.572    -3.722    -85.00    -15.00    0
