   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
    1      1.00      0.00     0.000     119.931450      -1.791360      21.335800     10.00     10.00   180.000    45.000    90.000   -170.00    -10.00
    2      1.00      0.00     0.000     119.928307      -1.700980      21.335800     10.00     10.00   180.000    45.000    90.000   -160.00    -10.00
    3      1.00      0.00     0.000     119.925179      -1.610590      21.335800     10.00     10.00   180.000    45.000    90.000   -150.00    -10.00
    4      1.00      0.00     0.000     119.922043      -1.520210      21.335800     10.00     10.00   180.000    45.000    90.000   -140.00    -10.00
    5     22.00      0.00     0.491     119.918907      -1.429830      21.335800     10.00     10.00   315.000    90.000     0.000   -130.00    -10.00
    6     21.00     11.00     0.891     119.915771      -1.339450      21.335800     10.00     10.00   315.000    90.000     0.000   -120.00    -10.00
    7     19.00     11.00     0.891     119.912643      -1.249070      21.335800     10.00     10.00   315.000    90.000     0.000   -110.00    -10.00
    8     18.00     11.00     0.891     119.909500      -1.158690      21.335800     10.00     10.00   315.000    90.000     0.000   -100.00    -10.00
    9     15.00      0.00     0.491     119.906372      -1.068310      21.335800     10.00     10.00   315.000    90.000     0.000    -90.00    -10.00
   10      1.00      0.00     0.000     119.903236      -0.977920      21.335800     10.00     10.00   180.000    45.000    90.000    -80.00    -10.00
   11      1.00      0.00     0.000     119.900101      -0.887540      21.335800     10.00     10.00   180.000    45.000    90.000    -70.00    -10.00
   12      1.00      0.00     0.000     119.896973      -0.797160      21.335800     10.00     10.00   180.000    45.000    90.000    -60.00    -10.00
   13      1.00      0.00     0.000     119.893837      -0.706780      21.335800     10.00     10.00   180.000    45.000    90.000    -50.00    -10.00
   14      1.00      0.00     0.000     119.890701      -0.616400      21.335800     10.00     10.00   180.000    45.000    90.000    -40.00    -10.00
   15      1.00      0.00     0.000     119.887573      -0.526020      21.335800     10.00     10.00   180.000    45.000    90.000    -30.00    -10.00
   16      3.00      0.00     0.491     119.884438      -0.435630      21.335800     10.00     10.00   360.000    90.000     0.000    -20.00    -10.00
   17      3.00     11.00     0.891     119.881310      -0.345250      21.335800     10.00     10.00   360.000    90.000     0.000    -10.00    -10.00
   18      3.00     11.00     0.891     119.878166      -0.254870      21.335800     10.00     10.00   360.000    90.000     0.000      0.00    -10.00
   19      3.00     11.00     0.891     119.875038      -0.164490      21.335800     10.00     10.00   360.000    90.000     0.000     10.00    -10.00
   20      3.00      0.00     0.491     119.871902      -0.074100      21.335800     10.00     10.00   360.000    90.000     0.000     20.00    -10.00
   21      1.00      0.00     0.000     119.868759       0.016280      21.335800     10.00     10.00   180.000    45.000    90.000     30.00    -10.00
   22      1.00      0.00     0.000     119.865623       0.106660      21.335800     10.00     10.00   180.000    45.000    90.000     40.00    -10.00
   23      1.00      0.00     0.000     119.862480       0.197040      21.335800     10.00     10.00   180.000    45.000    90.000     50.00    -10.00
   24      1.00      0.00     0.000     119.899261      -1.792490      12.000000     10.00     10.00   180.000    45.000    90.000   -170.00      0.00
   25      1.00      0.00     0.000     119.896133      -1.702110      12.000000     10.00     10.00   180.000    45.000    90.000   -160.00      0.00
   26      1.00      0.00     0.000     119.892990      -1.611730      12.000000     10.00     10.00   180.000    45.000    90.000   -150.00      0.00
   27      1.00      0.00     0.000     119.889862      -1.521340      12.000000     10.00     10.00   180.000    45.000    90.000   -140.00      0.00
   28     22.00      0.00     0.491     119.886719      -1.430960      12.000000     10.00     10.00   315.000    90.000     0.000   -130.00      0.00
   29     21.00     11.00     0.891     119.883591      -1.340580      12.000000     10.00     10.00   315.000    90.000     0.000   -120.00      0.00
   30     20.00     11.00     1.000     119.880463      -1.250200      12.000000     10.00     10.00   315.000    90.000     0.000   -110.00      0.00
   31     18.00     11.00     0.891     119.877319      -1.159820      12.000000     10.00     10.00   315.000    90.000     0.000   -100.00      0.00
   32     15.00      0.00     0.491     119.874191      -1.069440      12.000000     10.00     10.00   315.000    90.000     0.000    -90.00      0.00
   33      1.00      0.00     0.000     119.871063      -0.979050      12.000000     10.00     10.00   180.000    45.000    90.000    -80.00      0.00
   34      1.00      0.00     0.000     119.867928      -0.888670      12.000000     10.00     10.00   180.000    45.000    90.000    -70.00      0.00
   35      1.00      0.00     0.000     119.864792      -0.798290      12.000000     10.00     10.00   180.000    45.000    90.000    -60.00      0.00
   36      1.00      0.00     0.000     119.861656      -0.707910      12.000000     10.00     10.00   180.000    45.000    90.000    -50.00      0.00
   37      1.00      0.00     0.000     119.858528      -0.617530      12.000000     10.00     10.00   180.000    45.000    90.000    -40.00      0.00
   38      1.00      0.00     0.000     119.855400      -0.527150      12.000000     10.00     10.00   180.000    45.000    90.000    -30.00      0.00
   39      3.00      0.00     0.491     119.852257      -0.436760      12.000000     10.00     10.00   360.000    90.000     0.000    -20.00      0.00
   40      3.00     11.00     0.891     119.849129      -0.346380      12.000000     10.00     10.00   360.000    90.000     0.000    -10.00      0.00
   41      4.00     11.00     1.000     119.846001      -0.256000      12.000000     10.00     10.00   360.000    90.000     0.000      0.00      0.00
   42      3.00     11.00     0.891     119.842873      -0.165620      12.000000     10.00     10.00   360.000    90.000     0.000     10.00      0.00
   43      3.00      0.00     0.491     119.839737      -0.075240      12.000000     10.00     10.00   360.000    90.000     0.000     20.00      0.00
   44      1.00      0.00     0.000     119.836601       0.015150      12.000000     10.00     10.00   180.000    45.000    90.000     30.00      0.00
   45      1.00      0.00     0.000     119.833473       0.105530      12.000000     10.00     10.00   180.000    45.000    90.000     40.00      0.00
   46      1.00      0.00     0.000     119.830338       0.195910      12.000000     10.00     10.00   180.000    45.000    90.000     50.00      0.00
   47      1.00      0.00     0.000     119.867081      -1.793620       2.664200     10.00     10.00   180.000    45.000    90.000   -170.00     10.00
   48      1.00      0.00     0.000     119.863937      -1.703240       2.664200     10.00     10.00   180.000    45.000    90.000   -160.00     10.00
   49      1.00      0.00     0.000     119.860809      -1.612860       2.664200     10.00     10.00   180.000    45.000    90.000   -150.00     10.00
   50      1.00      0.00     0.000     119.857681      -1.522470       2.664200     10.00     10.00   180.000    45.000    90.000   -140.00     10.00
   51     22.00      0.00     0.491     119.854538      -1.432090       2.664200     10.00     10.00   315.000    90.000     0.000   -130.00     10.00
   52     21.00     11.00     0.891     119.851410      -1.341710       2.664200     10.00     10.00   315.000    90.000     0.000   -120.00     10.00
   53     19.00     11.00     0.891     119.848282      -1.251330       2.664200     10.00     10.00   315.000    90.000     0.000   -110.00     10.00
   54     18.00     11.00     0.891     119.845207      -1.160950       2.664200     10.00     10.00   315.000    90.000     0.000   -100.00     10.00
   55     15.00      0.00     0.491     119.842072      -1.070570       2.664200     10.00     10.00   315.000    90.000     0.000    -90.00     10.00
   56      1.00      0.00     0.000     119.838928      -0.980190       2.664200     10.00     10.00   180.000    45.000    90.000    -80.00     10.00
   57      1.00      0.00     0.000     119.835793      -0.889800       2.664200     10.00     10.00   180.000    45.000    90.000    -70.00     10.00
   58      1.00      0.00     0.000     119.832657      -0.799420       2.664200     10.00     10.00   180.000    45.000    90.000    -60.00     10.00
   59      1.00      0.00     0.000     119.829521      -0.709040       2.664200     10.00     10.00   180.000    45.000    90.000    -50.00     10.00
   60      1.00      0.00     0.000     119.826378      -0.618660       2.664200     10.00     10.00   180.000    45.000    90.000    -40.00     10.00
   61      1.00      0.00     0.000     119.823242      -0.528280       2.664200     10.00     10.00   180.000    45.000    90.000    -30.00     10.00
   62      3.00      0.00     0.491     119.820099      -0.437900       2.664200     10.00     10.00   360.000    90.000     0.000    -20.00     10.00
   63      3.00     11.00     0.891     119.816963      -0.347510       2.664200     10.00     10.00   360.000    90.000     0.000    -10.00     10.00
   64      3.00     11.00     0.891     119.813828      -0.257130       2.664200     10.00     10.00   360.000    90.000     0.000      0.00     10.00
   65      3.00     11.00     0.891     119.810692      -0.166750       2.664200     10.00     10.00   360.000    90.000     0.000     10.00     10.00
   66      3.00      0.00     0.491     119.807564      -0.076370       2.664200     10.00     10.00   360.000    90.000     0.000     20.00     10.00
   67      1.00      0.00     0.000     119.804428       0.014020       2.664200     10.00     10.00   180.000    45.000    90.000     30.00     10.00
   68      1.00      0.00     0.000     119.801300       0.104400       2.664200     10.00     10.00   180.000    45.000    90.000     40.00     10.00
   69      1.00      0.00     0.000     119.798172       0.194780       2.664200     10.00     10.00   180.000    45.000    90.000     50.00     10.00
