   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
    1     0.171     119.952240      -1.926360      26.003710      5.00      5.00    48.303    83.063  -108.765   -185.00    -15.00    1
    2     0.273     119.950684      -1.881170      26.003710      5.00      5.00   318.851     5.347     1.001   -180.00    -15.00    0
    3     0.432     119.949112      -1.835980      26.003710      5.00      5.00    74.711     2.908   113.385   -175.00    -15.00    1
    4     0.421     119.947540      -1.790790      26.003710      5.00      5.00    49.996     4.674    91.843   -170.00    -15.00    1
    5     0.406     119.945969      -1.745600      26.003710      5.00      5.00   222.570    83.012    86.884   -165.00    -15.00    0
    6     0.317     119.944397      -1.700410      26.003710      5.00      5.00    75.081     8.367   104.680   -160.00    -15.00    1
    7     0.326     119.942841      -1.655220      26.003710      5.00      5.00    23.576    15.676    30.695   -155.00    -15.00    0
    8     0.369     119.941269      -1.610030      26.003710      5.00      5.00    26.301    33.804    22.093   -150.00    -15.00    0
    9     0.442     119.939697      -1.564840      26.003710      5.00      5.00    22.103    45.788    24.854   -145.00    -15.00    0
   10     0.525     119.938133      -1.519650      26.003710      5.00      5.00    18.539    49.002    27.740   -140.00    -15.00    0
   11     0.549     119.936562      -1.474460      26.003710      5.00      5.00    15.202    50.782    28.676   -135.00    -15.00    0
   12     0.529     119.934998      -1.429270      26.003710      5.00      5.00     9.946    63.198    32.383   -130.00    -15.00    0
   13     0.527     119.933434      -1.384080      26.003710      5.00      5.00     4.543    74.763    38.271   -125.00    -15.00    0
   14     0.491     119.931862      -1.338890      26.003710      5.00      5.00   351.091    86.747    27.436   -120.00    -15.00    0
   15     0.483     119.930290      -1.293690      26.003710      5.00      5.00   160.525    78.260   -13.767   -115.00    -15.00    0
   16     0.603     119.928726      -1.248500      26.003710      5.00      5.00   154.948    54.308     1.345   -110.00    -15.00    0
   17     0.584     119.927162      -1.203310      26.003710      5.00      5.00   152.638    51.717     1.205   -105.00    -15.00    0
   18     0.491     119.925591      -1.158120      26.003710      5.00      5.00   157.299    49.964     8.037   -100.00    -15.00    0
   19     0.506     119.924026      -1.112930      26.003710      5.00      5.00   161.027    44.481    12.141    -95.00    -15.00    0
   20     0.532     119.922462      -1.067740      26.003710      5.00      5.00   162.289    49.754     4.061    -90.00    -15.00    0
   21     0.516     119.920891      -1.022550      26.003710      5.00      5.00   169.944    69.262    -0.981    -85.00    -15.00    0
   22     0.618     119.919319      -0.977360      26.003710      5.00      5.00   172.653    82.497     8.528    -80.00    -15.00    0
   23     0.742     119.917763      -0.932170      26.003710      5.00      5.00   179.501    80.774    13.215    -75.00    -15.00    0
   24     0.895     119.916191      -0.886980      26.003710      5.00      5.00   184.414    86.381    20.680    -70.00    -15.00    0
   25     1.015     119.914619      -0.841790      26.003710      5.00      5.00     3.496    86.023   -22.202    -65.00    -15.00    0
   26     1.071     119.913063      -0.796600      26.003710      5.00      5.00   358.958    81.401   -22.401    -60.00    -15.00    0
   27     1.053     119.911491      -0.751410      26.003710      5.00      5.00   355.375    74.620   -16.507    -55.00    -15.00    0
   28     0.996     119.909920      -0.706210      26.003710      5.00      5.00   351.691    72.846   -15.585    -50.00    -15.00    0
   29     0.924     119.908363      -0.661020      26.003710      5.00      5.00   351.831    79.512    -4.818    -45.00    -15.00    0
   30     0.855     119.906792      -0.615830      26.003710      5.00      5.00   351.690    86.185     7.655    -40.00    -15.00    0
   31     0.920     119.905220      -0.570640      26.003710      5.00      5.00   352.714    75.620    14.087    -35.00    -15.00    0
   32     1.005     119.903664      -0.525450      26.003710      5.00      5.00   351.476    64.610     7.832    -30.00    -15.00    0
   33     1.049     119.902092      -0.480260      26.003710      5.00      5.00   351.987    60.966     6.439    -25.00    -15.00    0
   34     1.026     119.900528      -0.435070      26.003710      5.00      5.00   355.327    67.581    13.420    -20.00    -15.00    0
   35     1.100     119.898956      -0.389880      26.003710      5.00      5.00   356.812    70.697    16.049    -15.00    -15.00    0
   36     1.181     119.897392      -0.344690      26.003710      5.00      5.00   354.509    74.377     7.822    -10.00    -15.00    0
   37     1.266     119.895828      -0.299500      26.003710      5.00      5.00   353.976    66.953     0.731     -5.00    -15.00    0
   38     1.307     119.894257      -0.254300      26.003710      5.00      5.00   354.586    59.036    -2.400      0.00    -15.00    0
   39     1.273     119.892693      -0.209110      26.003710      5.00      5.00   356.608    55.922     0.191      5.00    -15.00    0
   40     1.189     119.891121      -0.163920      26.003710      5.00      5.00   359.453    55.200     4.828     10.00    -15.00    0
   41     1.060     119.889549      -0.118730      26.003710      5.00      5.00     1.935    55.559    11.658     15.00    -15.00    0
   42     0.917     119.887978      -0.073540      26.003710      5.00      5.00   352.629    51.825     6.171     20.00    -15.00    0
   43     0.628     119.886414      -0.028350      26.003710      5.00      5.00   345.230    55.433    11.910     25.00    -15.00    0
   44     0.558     119.884850       0.016840      26.003710      5.00      5.00   213.584    60.246    98.819     30.00    -15.00    0
   45     0.593     119.883278       0.062030      26.003710      5.00      5.00   215.212    57.903    95.911     35.00    -15.00    0
   46     0.530     119.881706       0.107230      26.003710      5.00      5.00   202.504    57.313    87.982     40.00    -15.00    0
   47     0.366     119.880142       0.152420      26.003710      5.00      5.00   178.590    56.454    84.686     45.00    -15.00    0
   48     0.138     119.878571       0.197610      26.003710      5.00      5.00   176.875    52.035    89.090     50.00    -15.00    0
   49     0.201     119.936150      -1.926930      21.335800      5.00      5.00   -47.384    16.240    20.191   -185.00    -10.00    0
   50     0.322     119.934578      -1.881740      21.335800      5.00      5.00   197.786    86.923   106.566   -180.00    -10.00    0
   51     0.375     119.933006      -1.836550      21.335800      5.00      5.00   192.469    86.477   104.791   -175.00    -10.00    0
   52     0.446     119.931450      -1.791360      21.335800      5.00      5.00   199.892    88.602    98.795   -170.00    -10.00    0
   53     0.451     119.929878      -1.746170      21.335800      5.00      5.00   214.022    85.229    88.556   -165.00    -10.00    0
   54     0.460     119.928307      -1.700980      21.335800      5.00      5.00    58.907    10.964    97.446   -160.00    -10.00    1
   55     0.535     119.926743      -1.655790      21.335800      5.00      5.00     6.982    25.698    20.219   -155.00    -10.00    0
   56     0.652     119.925179      -1.610590      21.335800      5.00      5.00    10.661    39.865    13.498   -150.00    -10.00    0
   57     0.792     119.923607      -1.565400      21.335800      5.00      5.00    15.486    50.095    21.667   -145.00    -10.00    0
   58     0.942     119.922043      -1.520210      21.335800      5.00      5.00    17.517    55.812    28.594   -140.00    -10.00    0
   59     1.023     119.920471      -1.475020      21.335800      5.00      5.00    16.096    58.285    29.709   -135.00    -10.00    0
   60     0.958     119.918907      -1.429830      21.335800      5.00      5.00    11.857    62.011    30.258   -130.00    -10.00    0
   61     0.859     119.917343      -1.384640      21.335800      5.00      5.00     0.528    78.810    21.073   -125.00    -10.00    0
   62     0.844     119.915771      -1.339450      21.335800      5.00      5.00   169.291    73.428    -1.915   -120.00    -10.00    0
   63     0.894     119.914200      -1.294260      21.335800      5.00      5.00   162.073    63.714     3.591   -115.00    -10.00    0
   64     1.019     119.912643      -1.249070      21.335800      5.00      5.00   157.088    54.594     6.224   -110.00    -10.00    0
   65     1.025     119.911072      -1.203880      21.335800      5.00      5.00   154.185    52.168     4.087   -105.00    -10.00    0
   66     0.948     119.909500      -1.158690      21.335800      5.00      5.00   154.452    50.552     3.202   -100.00    -10.00    0
   67     0.876     119.907944      -1.113500      21.335800      5.00      5.00   155.951    61.370    -8.246    -95.00    -10.00    0
   68     0.890     119.906372      -1.068310      21.335800      5.00      5.00   160.980    71.270    -9.726    -90.00    -10.00    0
   69     1.003     119.904800      -1.023120      21.335800      5.00      5.00   167.944    83.724    -5.632    -85.00    -10.00    0
   70     1.203     119.903236      -0.977920      21.335800      5.00      5.00   173.484    87.057     2.017    -80.00    -10.00    0
   71     1.443     119.901672      -0.932730      21.335800      5.00      5.00   178.324    89.296    13.021    -75.00    -10.00    0
   72     1.670     119.900101      -0.887540      21.335800      5.00      5.00   359.499    85.437   -17.698    -70.00    -10.00    0
   73     1.940     119.898537      -0.842350      21.335800      5.00      5.00   359.605    82.836   -21.349    -65.00    -10.00    0
   74     2.022     119.896973      -0.797160      21.335800      5.00      5.00   358.100    80.003   -21.392    -60.00    -10.00    0
   75     1.961     119.895401      -0.751970      21.335800      5.00      5.00   354.499    74.011   -18.848    -55.00    -10.00    0
   76     1.863     119.893837      -0.706780      21.335800      5.00      5.00   352.425    73.241   -12.621    -50.00    -10.00    0
   77     1.812     119.892273      -0.661590      21.335800      5.00      5.00   350.877    76.004    -8.753    -45.00    -10.00    0
   78     1.742     119.890701      -0.616400      21.335800      5.00      5.00   350.053    77.282     0.726    -40.00    -10.00    0
   79     1.757     119.889137      -0.571210      21.335800      5.00      5.00   348.962    77.238     6.528    -35.00    -10.00    0
   80     1.835     119.887573      -0.526020      21.335800      5.00      5.00   349.139    70.847     5.546    -30.00    -10.00    0
   81     1.886     119.886002      -0.480820      21.335800      5.00      5.00   351.107    69.428     8.190    -25.00    -10.00    0
   82     1.930     119.884438      -0.435630      21.335800      5.00      5.00   353.662    71.173    11.532    -20.00    -10.00    0
   83     2.034     119.882874      -0.390440      21.335800      5.00      5.00   354.188    71.981    10.859    -15.00    -10.00    0
   84     2.218     119.881310      -0.345250      21.335800      5.00      5.00   353.476    69.373     4.285    -10.00    -10.00    0
   85     2.447     119.879738      -0.300060      21.335800      5.00      5.00   353.036    63.235    -0.920     -5.00    -10.00    0
   86     2.558     119.878166      -0.254870      21.335800      5.00      5.00   352.976    58.505    -4.054      0.00    -10.00    0
   87     2.480     119.876602      -0.209680      21.335800      5.00      5.00   354.040    56.474    -3.634      5.00    -10.00    0
   88     2.179     119.875038      -0.164490      21.335800      5.00      5.00   356.754    59.301     0.607     10.00    -10.00    0
   89     1.903     119.873466      -0.119300      21.335800      5.00      5.00   357.352    59.476     4.381     15.00    -10.00    0
   90     1.598     119.871902      -0.074100      21.335800      5.00      5.00   351.805    56.986     4.606     20.00    -10.00    0
   91     1.130     119.870331      -0.028910      21.335800      5.00      5.00   345.833    59.770    10.810     25.00    -10.00    0
   92     0.892     119.868759       0.016280      21.335800      5.00      5.00     1.211    41.084    54.219     30.00    -10.00    0
   93     0.957     119.867188       0.061470      21.335800      5.00      5.00   213.413    56.031    98.840     35.00    -10.00    0
   94     0.864     119.865623       0.106660      21.335800      5.00      5.00   205.824    55.421    94.709     40.00    -10.00    0
   95     0.636     119.864052       0.151850      21.335800      5.00      5.00   192.149    55.508    86.425     45.00    -10.00    0
   96     0.302     119.862480       0.197040      21.335800      5.00      5.00   176.129    57.426    83.463     50.00    -10.00    0
   97     0.108     119.920059      -1.927490      16.667900      5.00      5.00   152.150    84.641    80.223   -185.00     -5.00    0
   98     0.247     119.918488      -1.882300      16.667900      5.00      5.00    56.814    38.698  -150.662   -180.00     -5.00    1
   99     0.384     119.916924      -1.837110      16.667900      5.00      5.00    61.208    31.907  -149.284   -175.00     -5.00    1
  100     0.383     119.915352      -1.791920      16.667900      5.00      5.00   333.604    82.356   -71.644   -170.00     -5.00    0
  101     0.378     119.913788      -1.746730      16.667900      5.00      5.00   355.282    84.920   -61.498   -165.00     -5.00    0
  102     0.469     119.912216      -1.701540      16.667900      5.00      5.00   351.230    65.845   -26.050   -160.00     -5.00    0
  103     0.668     119.910652      -1.656350      16.667900      5.00      5.00   355.699    49.383    -4.667   -155.00     -5.00    0
  104     0.849     119.909081      -1.611160      16.667900      5.00      5.00     2.477    50.911     4.717   -150.00     -5.00    0
  105     1.022     119.907516      -1.565970      16.667900      5.00      5.00     8.066    54.752    12.125   -145.00     -5.00    0
  106     1.202     119.905952      -1.520780      16.667900      5.00      5.00    11.812    58.772    17.452   -140.00     -5.00    0
  107     1.302     119.904381      -1.475590      16.667900      5.00      5.00    11.631    63.858    18.294   -135.00     -5.00    0
