   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
    1     37.00      0.00     0.181     120.010109      -1.921610      26.003710      5.00      5.00    64.721    76.324  -101.819   -185.00    -15.00      0.50
    2     37.00      0.00     0.313     120.006973      -1.876500      26.003710      5.00      5.00    55.155    86.168   -93.898   -180.00    -15.00      0.50
    3     35.00      0.00     0.533     120.003838      -1.831400      26.003710      5.00      5.00   179.686     0.708  -147.400   -175.00    -15.00      0.50
    4     35.00      0.00     0.576     120.000702      -1.786290      26.003710      5.00      5.00     7.192     2.752    42.517   -170.00    -15.00      0.50
    5     33.00      0.00     0.583     119.997566      -1.741180      26.003710      5.00      5.00    -0.003     5.200    37.302   -165.00    -15.00      0.50
    6     32.00      0.00     0.455     119.994431      -1.696070      26.003710      5.00      5.00     9.326     7.150    26.125   -160.00    -15.00      0.50
    7     32.00      0.00     0.430     119.991302      -1.650960      26.003710      5.00      5.00     3.975    14.012     3.518   -155.00    -15.00      0.50
    8     30.00      0.00     0.376     119.988159      -1.605860      26.003710      5.00      5.00    25.466    33.761    16.705   -150.00    -15.00      0.50
    9     29.00      0.00     0.472     119.985031      -1.560750      26.003710      5.00      5.00    12.055    72.964    45.401   -145.00    -15.00      0.50
   10     28.00      0.00     0.548     119.981888      -1.515640      26.003710      5.00      5.00    14.759    69.395    41.088   -140.00    -15.00      0.50
   11     27.00      0.00     0.581     119.978760      -1.470530      26.003710      5.00      5.00    15.394    68.674    37.135   -135.00    -15.00      0.50
   12     27.00      0.00     0.618     119.975632      -1.425430      26.003710      5.00      5.00    12.447    79.712    44.011   -130.00    -15.00      0.50
   13     26.00      0.00     0.661     119.972488      -1.380320      26.003710      5.00      5.00    18.270    79.966    55.684   -125.00    -15.00      0.50
   14     24.00      0.00     0.494     119.969360      -1.335210      26.003710      5.00      5.00   177.577    87.389   -31.725   -120.00    -15.00      0.50
   15     23.00      0.00     0.447     119.966217      -1.290100      26.003710      5.00      5.00   166.206    80.039    -7.522   -115.00    -15.00      0.50
   16     22.00      0.00     0.567     119.963089      -1.244990      26.003710      5.00      5.00   162.271    70.733    13.922   -110.00    -15.00      0.50
   17     21.00      0.00     0.643     119.959961      -1.199880      26.003710      5.00      5.00   338.699    76.798     4.315   -105.00    -15.00      0.50
   18     20.00      0.00     0.742     119.956818      -1.154780      26.003710      5.00      5.00   343.762    68.771    12.361   -100.00    -15.00      0.50
   19     20.00      0.00     0.713     119.953690      -1.109670      26.003710      5.00      5.00   349.769    76.468     7.056    -95.00    -15.00      0.50
   20     18.00      0.00     0.724     119.950562      -1.064560      26.003710      5.00      5.00   177.331    80.241    16.199    -90.00    -15.00      0.50
   21     17.00      0.00     0.843     119.947418      -1.019450      26.003710      5.00      5.00   189.139    74.149    38.511    -85.00    -15.00      0.50
   22     16.00      0.00     0.986     119.944290      -0.974340      26.003710      5.00      5.00   184.451    81.391    40.339    -80.00    -15.00      0.50
   23     16.00      0.00     1.036     119.941162      -0.929240      26.003710      5.00      5.00   181.525    84.850    38.645    -75.00    -15.00      0.50
   24     14.00      0.00     1.042     119.938019      -0.884130      26.003710      5.00      5.00   357.816    88.023   -36.217    -70.00    -15.00      0.50
   25     14.00      0.00     1.007     119.934891      -0.839020      26.003710      5.00      5.00   354.282    77.326   -24.251    -65.00    -15.00      0.50
