   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
    1      1.00      0.00     0.000     119.952240      -1.926360      26.003710      5.00      5.00   180.000    45.000    90.000   -185.00    -15.00
    2      1.00      0.00     0.000     119.950684      -1.881170      26.003710      5.00      5.00   180.000    45.000    90.000   -180.00    -15.00
    3      1.00      0.00     0.000     119.949112      -1.835980      26.003710      5.00      5.00   180.000    45.000    90.000   -175.00    -15.00
    4      1.00      0.00     0.000     119.947540      -1.790790      26.003710      5.00      5.00   180.000    45.000    90.000   -170.00    -15.00
    5      1.00      0.00     0.000     119.945969      -1.745600      26.003710      5.00      5.00   180.000    45.000    90.000   -165.00    -15.00
    6     40.00      0.00     0.091     119.944397      -1.700410      26.003710      5.00      5.00   190.373    87.914   -71.484   -160.00    -15.00
    7     38.00      0.00     0.172     119.942841      -1.655220      26.003710      5.00      5.00    83.699    74.360   -79.844   -155.00    -15.00
    8     37.00      0.00     0.269     119.941269      -1.610030      26.003710      5.00      5.00   212.442    22.715  -162.790   -150.00    -15.00
    9     36.00      0.00     0.353     119.939697      -1.564840      26.003710      5.00      5.00   221.579    38.360  -162.255   -145.00    -15.00
   10     35.00      0.00     0.440     119.938133      -1.519650      26.003710      5.00      5.00   216.809    56.241   169.791   -140.00    -15.00
   11     34.00      0.00     0.497     119.936562      -1.474460      26.003710      5.00      5.00   335.053    62.735    21.039   -135.00    -15.00
   12     32.00      0.00     0.566     119.934998      -1.429270      26.003710      5.00      5.00   351.130    73.382    33.263   -130.00    -15.00
   13     31.00      0.00     0.624     119.933434      -1.384080      26.003710      5.00      5.00     4.746    85.450    39.611   -125.00    -15.00
   14     31.00      0.00     0.847     119.931862      -1.338890      26.003710      5.00      5.00    29.433    76.931    56.388   -120.00    -15.00
   15     29.00      0.00     0.828     119.930290      -1.293690      26.003710      5.00      5.00    33.934    76.407    69.416   -115.00    -15.00
   16     27.00      0.00     0.767     119.928726      -1.248500      26.003710      5.00      5.00   200.713    32.142    50.792   -110.00    -15.00
   17     26.00      0.00     0.698     119.927162      -1.203310      26.003710      5.00      5.00   170.394    64.732    12.593   -105.00    -15.00
   18     25.00      0.00     0.997     119.925591      -1.158120      26.003710      5.00      5.00   342.765    87.755    10.447   -100.00    -15.00
   19     24.00      0.00     1.114     119.924026      -1.112930      26.003710      5.00      5.00   341.079    83.633    -3.562    -95.00    -15.00
   20     23.00      0.00     1.211     119.922462      -1.067740      26.003710      5.00      5.00   342.574    73.653    -3.890    -90.00    -15.00
   21     22.00      0.00     1.285     119.920891      -1.022550      26.003710      5.00      5.00   345.923    77.156    -7.679    -85.00    -15.00
   22     20.00      0.00     1.218     119.919319      -0.977360      26.003710      5.00      5.00   176.470    86.221    21.743    -80.00    -15.00
   23     19.00      0.00     1.134     119.917763      -0.932170      26.003710      5.00      5.00   358.332    82.997   -23.485    -75.00    -15.00
   24     18.00      0.00     1.104     119.916191      -0.886980      26.003710      5.00      5.00   353.229    71.890   -20.416    -70.00    -15.00
   25     16.00      0.00     1.269     119.914619      -0.841790      26.003710      5.00      5.00   342.067    70.711   -29.644    -65.00    -15.00
   26     16.00      0.00     1.346     119.913063      -0.796600      26.003710      5.00      5.00   335.940    65.516   -18.726    -60.00    -15.00
   27     14.00      0.00     1.398     119.911491      -0.751410      26.003710      5.00      5.00   338.370    72.064    -6.200    -55.00    -15.00
   28     13.00      0.00     1.431     119.909920      -0.706210      26.003710      5.00      5.00   340.232    71.860    -1.297    -50.00    -15.00
   29     11.00      0.00     1.378     119.908363      -0.661020      26.003710      5.00      5.00   341.501    88.591    11.383    -45.00    -15.00
   30     10.00      0.00     1.323     119.906792      -0.615830      26.003710      5.00      5.00   347.861    85.713    10.888    -40.00    -15.00
   31      9.00      0.00     1.181     119.905220      -0.570640      26.003710      5.00      5.00   353.282    81.027    18.916    -35.00    -15.00
   32      8.00      0.00     1.296     119.903664      -0.525450      26.003710      5.00      5.00     1.555    68.448    27.360    -30.00    -15.00
   33      7.00      0.00     1.378     119.902092      -0.480260      26.003710      5.00      5.00   359.081    58.622    16.514    -25.00    -15.00
   34      6.00      0.00     1.280     119.900528      -0.435070      26.003710      5.00      5.00     1.517    52.821    14.969    -20.00    -15.00
   35      5.00      0.00     1.017     119.898956      -0.389880      26.003710      5.00      5.00     5.324    55.120    15.831    -15.00    -15.00
   36      4.00      0.00     1.041     119.897392      -0.344690      26.003710      5.00      5.00    10.159    64.007    27.858    -10.00    -15.00
   37      4.00      0.00     1.057     119.895828      -0.299500      26.003710      5.00      5.00     8.467    74.808    32.421     -5.00    -15.00
   38      4.00      0.00     1.013     119.894257      -0.254300      26.003710      5.00      5.00     6.095    83.070    25.647      0.00    -15.00
   39      4.00      0.00     1.000     119.892693      -0.209110      26.003710      5.00      5.00     9.623    78.986    12.458      5.00    -15.00
   40      4.00      0.00     0.988     119.891121      -0.163920      26.003710      5.00      5.00    11.817    75.558     0.564     10.00    -15.00
   41      5.00      0.00     0.855     119.889549      -0.118730      26.003710      5.00      5.00     4.557    75.015   -17.321     15.00    -15.00
   42      5.00      0.00     0.525     119.887978      -0.073540      26.003710      5.00      5.00   203.184    81.259    49.082     20.00    -15.00
   43      7.00      0.00     0.448     119.886414      -0.028350      26.003710      5.00      5.00    46.135    21.830    59.282     25.00    -15.00
   44      7.00      0.00     0.918     119.884850       0.016840      26.003710      5.00      5.00    77.808    30.810    93.845     30.00    -15.00
   45      9.00      0.00     0.807     119.883278       0.062030      26.003710      5.00      5.00   217.211    48.512   108.574     35.00    -15.00
   46     11.00      0.00     0.741     119.881706       0.107230      26.003710      5.00      5.00   200.814    53.143   114.686     40.00    -15.00
   47     11.00      0.00     0.656     119.880142       0.152420      26.003710      5.00      5.00   213.184    64.082   121.061     45.00    -15.00
   48     13.00      0.00     0.419     119.878571       0.197610      26.003710      5.00      5.00   350.645    39.172    38.909     50.00    -15.00
   49      1.00      0.00     0.000     119.936150      -1.926930      21.335800      5.00      5.00   180.000    45.000    90.000   -185.00    -10.00
   50      1.00      0.00     0.000     119.934578      -1.881740      21.335800      5.00      5.00   180.000    45.000    90.000   -180.00    -10.00
   51      1.00      0.00     0.000     119.933006      -1.836550      21.335800      5.00      5.00   180.000    45.000    90.000   -175.00    -10.00
   52      1.00      0.00     0.000     119.931450      -1.791360      21.335800      5.00      5.00   180.000    45.000    90.000   -170.00    -10.00
   53      1.00      0.00     0.000     119.929878      -1.746170      21.335800      5.00      5.00   180.000    45.000    90.000   -165.00    -10.00
   54     39.00      0.00     0.076     119.928307      -1.700980      21.335800      5.00      5.00   159.836     9.897   160.682   -160.00    -10.00
   55     39.00      0.00     0.050     119.926743      -1.655790      21.335800      5.00      5.00   166.236    88.096   168.627   -155.00    -10.00
   56     37.00      0.00     0.207     119.925179      -1.610590      21.335800      5.00      5.00   109.873    66.291   -54.819   -150.00    -10.00
   57     36.00      0.00     0.362     119.923607      -1.565400      21.335800      5.00      5.00   132.979    83.112   -38.411   -145.00    -10.00
   58     35.00      0.00     0.575     119.922043      -1.520210      21.335800      5.00      5.00   332.238    71.490     7.445   -140.00    -10.00
   59     34.00      0.00     0.760     119.920471      -1.475020      21.335800      5.00      5.00   345.687    67.267    14.114   -135.00    -10.00
   60     33.00      0.00     1.000     119.918907      -1.429830      21.335800      5.00      5.00     6.046    65.456    26.246   -130.00    -10.00
