   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
    1      1.00      0.00     0.000     119.952240      -1.926360      26.003710      5.00      5.00   180.000    45.000    90.000   -185.00    -15.00      0.50
    2      1.00      0.00     0.000     119.950684      -1.881170      26.003710      5.00      5.00   180.000    45.000    90.000   -180.00    -15.00      0.50
    3      1.00      0.00     0.000     119.949112      -1.835980      26.003710      5.00      5.00   180.000    45.000    90.000   -175.00    -15.00      0.50
    4      1.00      0.00     0.000     119.947540      -1.790790      26.003710      5.00      5.00   180.000    45.000    90.000   -170.00    -15.00      0.50
    5      1.00      0.00     0.000     119.945969      -1.745600      26.003710      5.00      5.00   180.000    45.000    90.000   -165.00    -15.00      0.50
    6     40.00      0.00     0.057     119.944397      -1.700410      26.003710      5.00      5.00    17.582    89.170    82.786   -160.00    -15.00      0.50
    7     38.00      0.00     0.153     119.942841      -1.655220      26.003710      5.00      5.00   221.471    19.002  -132.990   -155.00    -15.00      0.50
    8     37.00      0.00     0.221     119.941269      -1.610030      26.003710      5.00      5.00   216.184    23.949  -150.304   -150.00    -15.00      0.50
    9     36.00      0.00     0.229     119.939697      -1.564840      26.003710      5.00      5.00   105.327    71.483   -59.457   -145.00    -15.00      0.50
   10     35.00      0.00     0.183     119.938133      -1.519650      26.003710      5.00      5.00    84.983    75.076   -78.989   -140.00    -15.00      0.50
   11     34.00      0.00     0.155     119.936562      -1.474460      26.003710      5.00      5.00   354.240    16.845    21.842   -135.00    -15.00      0.50
   12     32.00      0.00     0.251     119.934998      -1.429270      26.003710      5.00      5.00    14.640    46.189    24.855   -130.00    -15.00      0.50
   13     32.00      0.00     0.377     119.933434      -1.384080      26.003710      5.00      5.00    16.023    60.320    23.659   -125.00    -15.00      0.50
   14     31.00      0.00     0.483     119.931862      -1.338890      26.003710      5.00      5.00    17.322    63.164    26.854   -120.00    -15.00      0.50
   15     31.00      0.00     0.543     119.930290      -1.293690      26.003710      5.00      5.00    15.188    68.017    35.122   -115.00    -15.00      0.50
   16     27.00      0.00     0.668     119.928726      -1.248500      26.003710      5.00      5.00    25.569    60.191    52.466   -110.00    -15.00      0.50
   17     27.00      0.00     0.724     119.927162      -1.203310      26.003710      5.00      5.00    19.384    62.330    54.919   -105.00    -15.00      0.50
   18     25.00      0.00     0.793     119.925591      -1.158120      26.003710      5.00      5.00     5.487    69.727    50.087   -100.00    -15.00      0.50
   19     24.00      0.00     0.770     119.924026      -1.112930      26.003710      5.00      5.00   357.504    73.547    45.276    -95.00    -15.00      0.50
   20     22.00      0.00     0.803     119.922462      -1.067740      26.003710      5.00      5.00   350.054    80.238    36.992    -90.00    -15.00      0.50
   21     21.00      0.00     0.770     119.920891      -1.022550      26.003710      5.00      5.00   346.505    87.529    27.236    -85.00    -15.00      0.50
   22     20.00      0.00     0.763     119.919319      -0.977360      26.003710      5.00      5.00   169.180    53.687    18.896    -80.00    -15.00      0.50
   23     19.00      0.00     0.710     119.917763      -0.932170      26.003710      5.00      5.00   165.773    76.707     5.722    -75.00    -15.00      0.50
   24     18.00      0.00     0.748     119.916191      -0.886980      26.003710      5.00      5.00   346.360    80.780     1.116    -70.00    -15.00      0.50
   25     16.00      0.00     0.906     119.914619      -0.841790      26.003710      5.00      5.00   347.656    78.177   -14.713    -65.00    -15.00      0.50
   26     17.00      0.00     0.970     119.913063      -0.796600      26.003710      5.00      5.00   355.647    83.538   -14.643    -60.00    -15.00      0.50
   27     15.00      0.00     1.102     119.911491      -0.751410      26.003710      5.00      5.00     0.320    83.674   -16.837    -55.00    -15.00      0.50
   28     13.00      0.00     1.225     119.909920      -0.706210      26.003710      5.00      5.00   358.298    76.518   -18.259    -50.00    -15.00      0.50
   29     11.00      0.00     1.268     119.908363      -0.661020      26.003710      5.00      5.00   353.892    69.801   -11.325    -45.00    -15.00      0.50
   30     10.00      0.00     1.301     119.906792      -0.615830      26.003710      5.00      5.00   352.337    74.965    -9.206    -40.00    -15.00      0.50
   31      9.00      0.00     1.205     119.905220      -0.570640      26.003710      5.00      5.00   354.102    78.438     2.963    -35.00    -15.00      0.50
   32      8.00      0.00     1.243     119.903664      -0.525450      26.003710      5.00      5.00   356.331    80.263    18.665    -30.00    -15.00      0.50
   33      7.00      0.00     1.302     119.902092      -0.480260      26.003710      5.00      5.00   353.757    78.122    14.628    -25.00    -15.00      0.50
   34      6.00      0.00     1.317     119.900528      -0.435070      26.003710      5.00      5.00   354.310    73.955     8.019    -20.00    -15.00      0.50
   35      5.00      0.00     1.303     119.898956      -0.389880      26.003710      5.00      5.00   356.589    75.762     7.920    -15.00    -15.00      0.50
   36      4.00      0.00     1.453     119.897392      -0.344690      26.003710      5.00      5.00   356.988    75.357     8.113    -10.00    -15.00      0.50
