   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
    1     119.952240      -1.926360      26.003710     0.202    41.725    20.843    73.120   239.713    70.094    96.308   -185.00    -15.00    0
    2     119.950684      -1.881170      26.003710     0.373    34.621    21.915    63.776   242.587    70.439   100.080   -180.00    -15.00    0
    3     119.949112      -1.835980      26.003710     0.535    18.477    27.632    39.944   251.905    72.676   111.869   -175.00    -15.00    0
    4     119.947540      -1.790790      26.003710     0.616    15.248    38.953    30.834   260.346    71.202   124.767   -170.00    -15.00    0
    5     119.945969      -1.745600      26.003710     0.654   271.422    76.450   146.800    10.138    57.838    16.067   -165.00    -15.00    0
    6     119.944397      -1.700410      26.003710     0.646   272.683    78.127   163.439     6.184    73.803    12.371   -160.00    -15.00    0
    7     119.942841      -1.655220      26.003710     0.632   272.675    78.922   167.980     5.018    78.208    11.320   -155.00    -15.00    0
    8     119.941269      -1.610030      26.003710     0.579   270.659    74.711   170.967     3.059    81.289    15.472   -150.00    -15.00    0
    9     119.939697      -1.564840      26.003710     0.512     0.295    80.336    21.244   266.561    69.071   169.646   -145.00    -15.00    0
   10     119.938133      -1.519650      26.003710     0.470   172.735    87.075   -11.354   263.322    78.661  -177.017   -140.00    -15.00    0
   11     119.936562      -1.474460      26.003710     0.466   172.838    67.095    17.488    75.847    73.930   156.107   -135.00    -15.00    0
   12     119.934998      -1.429270      26.003710     0.512   170.574    69.953    23.983    71.904    67.553   158.229   -130.00    -15.00    0
   13     119.933434      -1.384080      26.003710     0.560   170.428    69.968    31.493    68.576    60.607   156.849   -125.00    -15.00    0
   14     119.931862      -1.338890      26.003710     0.602   340.837    77.730    -0.308    70.902    89.699  -167.729   -120.00    -15.00    0
   15     119.930290      -1.293690      26.003710     0.678   339.597    75.772    -5.104    70.855    85.052  -165.718   -115.00    -15.00    0
   16     119.928726      -1.248500      26.003710     0.689   167.020    85.535    24.433    74.994    65.646   175.098   -110.00    -15.00    0
   17     119.927162      -1.203310      26.003710     0.707   178.689    72.943    37.047    76.204    54.832   158.973   -105.00    -15.00    0
   18     119.925591      -1.158120      26.003710     0.781   182.331    77.282    42.628    80.876    48.653   162.947   -100.00    -15.00    0
   19     119.924026      -1.112930      26.003710     0.826   180.399    81.610    41.630    83.010    48.913   168.838    -95.00    -15.00    0
   20     119.922462      -1.067740      26.003710     0.920   182.878    82.813    44.085    85.969    46.350   170.043    -90.00    -15.00    0
   21     119.920891      -1.022550      26.003710     0.932   183.409    85.861    42.671    89.602    47.467   174.379    -85.00    -15.00    0
   22     119.919319      -0.977360      26.003710     0.905   350.599    74.630   -26.573    88.151    64.448  -162.915    -80.00    -15.00    0
   23     119.917763      -0.932170      26.003710     0.962   344.392    67.118   -21.738    83.205    70.049  -155.564    -75.00    -15.00    0
   24     119.916191      -0.886980      26.003710     0.916   341.974    73.950   -21.852    78.301    69.041  -162.778    -70.00    -15.00    0
   25     119.914619      -0.841790      26.003710     0.911   338.127    73.390   -17.855    73.388    72.914  -162.599    -65.00    -15.00    0
   26     119.913063      -0.796600      26.003710     0.928   336.247    72.742   -12.227    69.925    78.332  -162.366    -60.00    -15.00    0
   27     119.911491      -0.751410      26.003710     0.951   336.540    84.142    -0.559    66.597    89.444  -174.142    -55.00    -15.00    0
   28     119.909920      -0.706210      26.003710     0.966   339.321    88.117     8.195   249.050    81.810   178.097    -50.00    -15.00    0
   29     119.908363      -0.661020      26.003710     0.943   342.997    85.325    18.774   251.410    71.291   175.063    -45.00    -15.00    0
