   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
    1     31.00      0.00     0.202     119.952240      -1.926360      26.003710      5.00      5.00    41.725    20.843    73.120   -185.00    -15.00
    2     31.00      0.00     0.373     119.950684      -1.881170      26.003710      5.00      5.00    34.621    21.915    63.776   -180.00    -15.00
    3     30.00      0.00     0.535     119.949112      -1.835980      26.003710      5.00      5.00    18.477    27.632    39.944   -175.00    -15.00
    4     29.00      0.00     0.616     119.947540      -1.790790      26.003710      5.00      5.00    15.248    38.953    30.834   -170.00    -15.00
    5     29.00      0.00     0.654     119.945969      -1.745600      26.003710      5.00      5.00    10.138    57.838    16.067   -165.00    -15.00
    6     27.00      0.00     0.646     119.944397      -1.700410      26.003710      5.00      5.00     6.184    73.803    12.371   -160.00    -15.00
    7     27.00      0.00     0.632     119.942841      -1.655220      26.003710      5.00      5.00     5.018    78.208    11.320   -155.00    -15.00
    8     26.00      0.00     0.579     119.941269      -1.610030      26.003710      5.00      5.00     3.059    81.289    15.472   -150.00    -15.00
    9     25.00      0.00     0.512     119.939697      -1.564840      26.003710      5.00      5.00     0.295    80.336    21.244   -145.00    -15.00
   10     24.00      0.00     0.470     119.938133      -1.519650      26.003710      5.00      5.00   172.735    87.075   -11.354   -140.00    -15.00
   11     23.00      0.00     0.466     119.936562      -1.474460      26.003710      5.00      5.00   172.838    67.095    17.488   -135.00    -15.00
   12     22.00      0.00     0.512     119.934998      -1.429270      26.003710      5.00      5.00   170.574    69.953    23.983   -130.00    -15.00
   13     21.00      0.00     0.560     119.933434      -1.384080      26.003710      5.00      5.00   170.428    69.968    31.493   -125.00    -15.00
   14     20.00      0.00     0.602     119.931862      -1.338890      26.003710      5.00      5.00   340.837    77.730    -0.308   -120.00    -15.00
   15     20.00      0.00     0.678     119.930290      -1.293690      26.003710      5.00      5.00   339.597    75.772    -5.104   -115.00    -15.00
   16     19.00      0.00     0.689     119.928726      -1.248500      26.003710      5.00      5.00   167.020    85.535    24.433   -110.00    -15.00
   17     18.00      0.00     0.707     119.927162      -1.203310      26.003710      5.00      5.00   178.689    72.943    37.047   -105.00    -15.00
   18     17.00      0.00     0.781     119.925591      -1.158120      26.003710      5.00      5.00   182.331    77.282    42.628   -100.00    -15.00
   19     16.00      0.00     0.826     119.924026      -1.112930      26.003710      5.00      5.00   180.399    81.610    41.630    -95.00    -15.00
   20     15.00      0.00     0.920     119.922462      -1.067740      26.003710      5.00      5.00   182.878    82.813    44.085    -90.00    -15.00
   21     15.00      0.00     0.932     119.920891      -1.022550      26.003710      5.00      5.00   183.409    85.861    42.671    -85.00    -15.00
   22     14.00      0.00     0.905     119.919319      -0.977360      26.003710      5.00      5.00   350.599    74.630   -26.573    -80.00    -15.00
   23     13.00      0.00     0.962     119.917763      -0.932170      26.003710      5.00      5.00   344.392    67.118   -21.738    -75.00    -15.00
   24     12.00      0.00     0.916     119.916191      -0.886980      26.003710      5.00      5.00   341.974    73.950   -21.852    -70.00    -15.00
   25     12.00      0.00     0.911     119.914619      -0.841790      26.003710      5.00      5.00   338.127    73.390   -17.855    -65.00    -15.00
   26     11.00      0.00     0.928     119.913063      -0.796600      26.003710      5.00      5.00   336.247    72.742   -12.227    -60.00    -15.00
   27     10.00      0.00     0.951     119.911491      -0.751410      26.003710      5.00      5.00   336.540    84.142    -0.559    -55.00    -15.00
   28      9.00      0.00     0.966     119.909920      -0.706210      26.003710      5.00      5.00   339.321    88.117     8.195    -50.00    -15.00
   29      8.00      0.00     0.943     119.908363      -0.661020      26.003710      5.00      5.00   342.997    85.325    18.774    -45.00    -15.00
   30      7.00      0.00     0.945     119.906792      -0.615830      26.003710      5.00      5.00   350.106    73.727    25.145    -40.00    -15.00
   31      6.00      0.00     0.907     119.905220      -0.570640      26.003710      5.00      5.00   355.351    69.206    25.855    -35.00    -15.00
   32      6.00      0.00     0.867     119.903664      -0.525450      26.003710      5.00      5.00     0.730    64.761    25.422    -30.00    -15.00
   33      5.00      0.00     0.894     119.902092      -0.480260      26.003710      5.00      5.00     5.966    64.080    20.394    -25.00    -15.00
   34      4.00      0.00     1.003     119.900528      -0.435070      26.003710      5.00      5.00     8.510    61.575    15.450    -20.00    -15.00
   35      3.00      0.00     1.064     119.898956      -0.389880      26.003710      5.00      5.00     7.939    68.274    16.072    -15.00    -15.00
   36      3.00      0.00     1.125     119.897392      -0.344690      26.003710      5.00      5.00     7.379    69.724    12.231    -10.00    -15.00
   37      3.00      0.00     1.127     119.895828      -0.299500      26.003710      5.00      5.00     7.344    72.556    12.523     -5.00    -15.00
   38      3.00      0.00     1.089     119.894257      -0.254300      26.003710      5.00      5.00     6.236    76.317    10.539      0.00    -15.00
   39      3.00      0.00     1.028     119.892693      -0.209110      26.003710      5.00      5.00     6.032    73.780     9.086      5.00    -15.00
   40      4.00      0.00     0.932     119.891121      -0.163920      26.003710      5.00      5.00     9.470    68.572    13.281     10.00    -15.00
   41      3.00      0.00     0.794     119.889549      -0.118730      26.003710      5.00      5.00    16.331    58.128    24.071     15.00    -15.00
   42      4.00      0.00     0.749     119.887978      -0.073540      26.003710      5.00      5.00    18.476    41.500    28.400     20.00    -15.00
   43      5.00      0.00     0.625     119.886414      -0.028350      26.003710      5.00      5.00    23.689    22.370    47.181     25.00    -15.00
   44      6.00      0.00     0.440     119.884850       0.016840      26.003710      5.00      5.00   218.929    72.826    88.265     30.00    -15.00
   45      6.00      0.00     0.464     119.883278       0.062030      26.003710      5.00      5.00   198.817    71.957   102.514     35.00    -15.00
   46      7.00      0.00     0.451     119.881706       0.107230      26.003710      5.00      5.00   157.751    53.768    92.925     40.00    -15.00
   47      8.00      0.00     0.355     119.880142       0.152420      26.003710      5.00      5.00   144.547    51.015    62.031     45.00    -15.00
   48      9.00      0.00     0.275     119.878571       0.197610      26.003710      5.00      5.00   162.903    43.835    57.769     50.00    -15.00
   49     31.00      0.00     0.331     119.936150      -1.926930      21.335800      5.00      5.00   205.527    72.792    62.512   -185.00    -10.00
   50     31.00      0.00     0.599     119.934578      -1.881740      21.335800      5.00      5.00   197.145    79.782    49.702   -180.00    -10.00
   51     30.00      0.00     0.826     119.933006      -1.836550      21.335800      5.00      5.00     1.628    68.202    -6.559   -175.00    -10.00
   52     29.00      0.00     1.028     119.931450      -1.791360      21.335800      5.00      5.00     4.156    67.227     1.571   -170.00    -10.00
   53     29.00      0.00     1.199     119.929878      -1.746170      21.335800      5.00      5.00     6.813    68.705     8.145   -165.00    -10.00
   54     28.00      0.00     1.244     119.928307      -1.700980      21.335800      5.00      5.00     6.116    74.017     9.663   -160.00    -10.00
   55     27.00      0.00     1.203     119.926743      -1.655790      21.335800      5.00      5.00     4.628    78.251    11.717   -155.00    -10.00
   56     26.00      0.00     1.095     119.925179      -1.610590      21.335800      5.00      5.00     2.202    82.238    11.617   -150.00    -10.00
   57     25.00      0.00     0.969     119.923607      -1.565400      21.335800      5.00      5.00   359.172    80.475    14.946   -145.00    -10.00
   58     24.00      0.00     0.878     119.922043      -1.520210      21.335800      5.00      5.00   353.785    82.194    13.815   -140.00    -10.00
   59     24.00      0.00     0.844     119.920471      -1.475020      21.335800      5.00      5.00   347.364    88.066     1.075   -135.00    -10.00
   60     24.00      0.00     0.932     119.918907      -1.429830      21.335800      5.00      5.00   342.769    86.544    -4.746   -130.00    -10.00
   61     23.00      0.00     1.076     119.917343      -1.384640      21.335800      5.00      5.00   339.620    83.889    -4.320   -125.00    -10.00
   62     21.00      0.00     1.235     119.915771      -1.339450      21.335800      5.00      5.00   338.266    75.145    -2.641   -120.00    -10.00
   63     21.00      0.00     1.326     119.914200      -1.294260      21.335800      5.00      5.00   337.988    78.236    -8.788   -115.00    -10.00
   64     19.00      0.00     1.326     119.912643      -1.249070      21.335800      5.00      5.00   341.662    84.415   -18.532   -110.00    -10.00
   65     18.00      0.00     1.312     119.911072      -1.203880      21.335800      5.00      5.00   170.955    85.012    28.111   -105.00    -10.00
   66     17.00      0.00     1.402     119.909500      -1.158690      21.335800      5.00      5.00   179.540    79.524    37.302   -100.00    -10.00
   67     17.00      0.00     1.477     119.907944      -1.113500      21.335800      5.00      5.00   183.521    79.738    39.140    -95.00    -10.00
   68     16.00      0.00     1.584     119.906372      -1.068310      21.335800      5.00      5.00   179.507    89.712    36.946    -90.00    -10.00
   69     15.00      0.00     1.675     119.904800      -1.023120      21.335800      5.00      5.00   354.760    81.791   -32.720    -85.00    -10.00
   70     14.00      0.00     1.751     119.903236      -0.977920      21.335800      5.00      5.00   347.105    69.294   -24.471    -80.00    -10.00
   71     13.00      2.00     1.810     119.901672      -0.932730      21.335800      5.00      5.00   343.254    67.283   -24.375    -75.00    -10.00
   72     12.00      2.00     1.850     119.900101      -0.887540      21.335800      5.00      5.00   338.084    66.272   -25.115    -70.00    -10.00
   73     11.00      2.00     1.859     119.898537      -0.842350      21.335800      5.00      5.00   335.189    66.121   -21.845    -65.00    -10.00
   74     11.00      2.00     1.829     119.896973      -0.797160      21.335800      5.00      5.00   337.029    76.254    -7.784    -60.00    -10.00
   75     10.00      1.00     1.848     119.895401      -0.751970      21.335800      5.00      5.00   337.678    87.246     3.205    -55.00    -10.00
   76      9.00      0.00     1.795     119.893837      -0.706780      21.335800      5.00      5.00   339.416    89.248     7.605    -50.00    -10.00
   77      8.00      0.00     1.762     119.892273      -0.661590      21.335800      5.00      5.00   341.642    88.103    12.323    -45.00    -10.00
   78      7.00      0.00     1.664     119.890701      -0.616400      21.335800      5.00      5.00   345.582    82.132    13.918    -40.00    -10.00
   79      6.00      0.00     1.584     119.889137      -0.571210      21.335800      5.00      5.00   351.638    73.532    16.453    -35.00    -10.00
   80      6.00      0.00     1.550     119.887573      -0.526020      21.335800      5.00      5.00   357.183    69.604    17.416    -30.00    -10.00
   81      5.00      0.00     1.587     119.886002      -0.480820      21.335800      5.00      5.00     0.624    67.258    12.370    -25.00    -10.00
   82      4.00      0.00     1.700     119.884438      -0.435630      21.335800      5.00      5.00     3.580    68.611     8.891    -20.00    -10.00
