   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
    1     37.00      0.00     0.504     119.952240      -1.926360      26.003710      5.00      5.00   357.184    90.000     0.000   -185.00    -15.00      0.50
    2     37.00      0.00     0.887     119.950684      -1.881170      26.003710      5.00      5.00   359.031    90.000     0.000   -180.00    -15.00      0.50
    3     35.00      0.00     1.333     119.949112      -1.835980      26.003710      5.00      5.00     1.488    90.000     0.000   -175.00    -15.00      0.50
    4     35.00      0.00     1.425     119.947540      -1.790790      26.003710      5.00      5.00     1.342    90.000     0.000   -170.00    -15.00      0.50
    5     34.00      0.00     1.296     119.945969      -1.745600      26.003710      5.00      5.00     3.203    90.000     0.000   -165.00    -15.00      0.50
    6     33.00      0.00     1.162     119.944397      -1.700410      26.003710      5.00      5.00     2.745    90.000     0.000   -160.00    -15.00      0.50
    7     33.00      0.00     0.983     119.942841      -1.655220      26.003710      5.00      5.00     1.888    90.000     0.000   -155.00    -15.00      0.50
    8     30.00      0.00     0.804     119.941269      -1.610030      26.003710      5.00      5.00   357.387    90.000     0.000   -150.00    -15.00      0.50
    9     29.00      0.00     0.589     119.939697      -1.564840      26.003710      5.00      5.00     4.039    90.000     0.000   -145.00    -15.00      0.50
   10     28.00      0.00     0.421     119.938133      -1.519650      26.003710      5.00      5.00     8.791    90.000     0.000   -140.00    -15.00      0.50
   11     27.00      0.00     0.271     119.936562      -1.474460      26.003710      5.00      5.00   321.339    90.000   180.000   -135.00    -15.00      0.50
   12     33.00      0.00     0.978     119.934998      -1.429270      26.003710      5.00      5.00   183.505    90.000   180.000   -130.00    -15.00      0.50
   13     26.00      0.00     1.943     119.933434      -1.384080      26.003710      5.00      5.00   190.716    90.000   180.000   -125.00    -15.00      0.50
   14     26.00      0.00     2.137     119.931862      -1.338890      26.003710      5.00      5.00   190.513    90.000   180.000   -120.00    -15.00      0.50
   15     26.00      0.00     2.148     119.930290      -1.293690      26.003710      5.00      5.00   191.177    90.000   180.000   -115.00    -15.00      0.50
   16     23.00      0.00     2.146     119.928726      -1.248500      26.003710      5.00      5.00   194.293    90.000   180.000   -110.00    -15.00      0.50
   17     23.00      0.00     1.213     119.927162      -1.203310      26.003710      5.00      5.00   195.887    90.000   180.000   -105.00    -15.00      0.50
   18     20.00      0.00     0.365     119.925591      -1.158120      26.003710      5.00      5.00   202.162    90.000   180.000   -100.00    -15.00      0.50
   19     19.00      0.00     0.125     119.924026      -1.112930      26.003710      5.00      5.00   208.988    90.000   180.000    -95.00    -15.00      0.50
   20     18.00      0.00     0.282     119.922462      -1.067740      26.003710      5.00      5.00   317.719    90.000     0.000    -90.00    -15.00      0.50
   21     17.00      0.00     0.467     119.920891      -1.022550      26.003710      5.00      5.00   316.276    90.000     0.000    -85.00    -15.00      0.50
   22     16.00      0.00     0.661     119.919319      -0.977360      26.003710      5.00      5.00   221.345    90.000   180.000    -80.00    -15.00      0.50
   23     15.00      0.00     0.923     119.917763      -0.932170      26.003710      5.00      5.00   315.348    90.000     0.000    -75.00    -15.00      0.50
   24     14.00      0.00     0.670     119.916191      -0.886980      26.003710      5.00      5.00   323.790    90.000     0.000    -70.00    -15.00      0.50
   25     13.00      0.00     0.952     119.914619      -0.841790      26.003710      5.00      5.00   348.610    90.000     0.000    -65.00    -15.00      0.50
   26     12.00      0.00     1.128     119.913063      -0.796600      26.003710      5.00      5.00   347.155    90.000     0.000    -60.00    -15.00      0.50
   27     13.00      0.00     1.241     119.911491      -0.751410      26.003710      5.00      5.00   356.512    90.000     0.000    -55.00    -15.00      0.50
   28     11.00      0.00     1.197     119.909920      -0.706210      26.003710      5.00      5.00   359.006    90.000     0.000    -50.00    -15.00      0.50
   29     10.00      0.00     0.993     119.908363      -0.661020      26.003710      5.00      5.00   344.965    90.000     0.000    -45.00    -15.00      0.50
   30      8.00      0.00     1.565     119.906792      -0.615830      26.003710      5.00      5.00   325.950    90.000     0.000    -40.00    -15.00      0.50
   31      7.00      0.00     2.355     119.905220      -0.570640      26.003710      5.00      5.00   329.810    90.000     0.000    -35.00    -15.00      0.50
   32      7.00      0.00     2.622     119.903664      -0.525450      26.003710      5.00      5.00   336.709    90.000     0.000    -30.00    -15.00      0.50
   33      6.00      0.00     2.586     119.902092      -0.480260      26.003710      5.00      5.00   338.570    90.000     0.000    -25.00    -15.00      0.50
   34      5.00      0.00     2.552     119.900528      -0.435070      26.003710      5.00      5.00   333.217    90.000     0.000    -20.00    -15.00      0.50
   35      4.00      0.00     2.542     119.898956      -0.389880      26.003710      5.00      5.00   331.210    90.000     0.000    -15.00    -15.00      0.50
   36      3.00      0.00     1.991     119.897392      -0.344690      26.003710      5.00      5.00   330.427    90.000     0.000    -10.00    -15.00      0.50
   37      4.00      0.00     1.590     119.895828      -0.299500      26.003710      5.00      5.00   335.925    90.000     0.000     -5.00    -15.00      0.50
   38      5.00      0.00     1.353     119.894257      -0.254300      26.003710      5.00      5.00   343.370    90.000     0.000      0.00    -15.00      0.50
   39      5.00      0.00     1.069     119.892693      -0.209110      26.003710      5.00      5.00   353.173    90.000     0.000      5.00    -15.00      0.50
   40      8.00      0.00     1.324     119.891121      -0.163920      26.003710      5.00      5.00     6.005    90.000     0.000     10.00    -15.00      0.50
   41      5.00      0.00     2.254     119.889549      -0.118730      26.003710      5.00      5.00    15.945    90.000     0.000     15.00    -15.00      0.50
   42      5.00      0.00     3.196     119.887978      -0.073540      26.003710      5.00      5.00    20.997    90.000     0.000     20.00    -15.00      0.50
   43      6.00      0.00     2.819     119.886414      -0.028350      26.003710      5.00      5.00    26.109    90.000     0.000     25.00    -15.00      0.50
   44      6.00      0.00     2.464     119.884850       0.016840      26.003710      5.00      5.00    25.110    90.000     0.000     30.00    -15.00      0.50
