   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
   58     0.800     119.922043      -1.520210      21.335800      5.00      5.00   358.000    69.000    13.494   -140.00    -10.00    0
   59     0.168     119.920471      -1.475020      21.335800      5.00      5.00   358.000    69.000   112.562   -135.00    -10.00    0
   60     1.423     119.918907      -1.429830      21.335800      5.00      5.00   358.000    69.000   161.084   -130.00    -10.00    0
   61     2.606     119.917343      -1.384640      21.335800      5.00      5.00   358.000    69.000   159.190   -125.00    -10.00    0
   62     3.219     119.915771      -1.339450      21.335800      5.00      5.00   358.000    69.000   152.218   -120.00    -10.00    0
   63     3.231     119.914200      -1.294260      21.335800      5.00      5.00   358.000    69.000   146.578   -115.00    -10.00    0
   64     2.898     119.912643      -1.249070      21.335800      5.00      5.00   358.000    69.000   139.332   -110.00    -10.00    0
   65     1.843     119.911072      -1.203880      21.335800      5.00      5.00   358.000    69.000   131.492   -105.00    -10.00    0
   66     0.882     119.909500      -1.158690      21.335800      5.00      5.00   358.000    69.000   116.074   -100.00    -10.00    0
   67     0.238     119.907944      -1.113500      21.335800      5.00      5.00   358.000    69.000   -80.826    -95.00    -10.00    0
   68     0.644     119.906372      -1.068310      21.335800      5.00      5.00   358.000    69.000   -68.433    -90.00    -10.00    0
   69     0.625     119.904800      -1.023120      21.335800      5.00      5.00   358.000    69.000   -37.490    -85.00    -10.00    0
   70     0.688     119.903236      -0.977920      21.335800      5.00      5.00   358.000    69.000    38.744    -80.00    -10.00    0
   71     1.222     119.901672      -0.932730      21.335800      5.00      5.00   358.000    69.000    49.405    -75.00    -10.00    0
   72     1.505     119.900101      -0.887540      21.335800      5.00      5.00   358.000    69.000    15.665    -70.00    -10.00    0
   73     2.072     119.898537      -0.842350      21.335800      5.00      5.00   358.000    69.000     4.491    -65.00    -10.00    0
   74     2.172     119.896973      -0.797160      21.335800      5.00      5.00   358.000    69.000     8.423    -60.00    -10.00    0
   75     2.047     119.895401      -0.751970      21.335800      5.00      5.00   358.000    69.000     2.265    -55.00    -10.00    0
   76     2.136     119.893837      -0.706780      21.335800      5.00      5.00   358.000    69.000    16.717    -50.00    -10.00    0
   77     1.948     119.892273      -0.661590      21.335800      5.00      5.00   358.000    69.000    39.705    -45.00    -10.00    0
   78     2.086     119.890701      -0.616400      21.335800      5.00      5.00   358.000    69.000    49.542    -40.00    -10.00    0
   79     2.374     119.889137      -0.571210      21.335800      5.00      5.00   358.000    69.000    48.040    -35.00    -10.00    0
   80     2.992     119.887573      -0.526020      21.335800      5.00      5.00   358.000    69.000    38.993    -30.00    -10.00    0
   81     3.412     119.886002      -0.480820      21.335800      5.00      5.00   358.000    69.000    38.822    -25.00    -10.00    0
   82     3.383     119.884438      -0.435630      21.335800      5.00      5.00   358.000    69.000    47.964    -20.00    -10.00    0
   83     3.067     119.882874      -0.390440      21.335800      5.00      5.00   358.000    69.000    53.457    -15.00    -10.00    0
   84     2.659     119.881310      -0.345250      21.335800      5.00      5.00   358.000    69.000    55.786    -10.00    -10.00    0
   85     2.463     119.879738      -0.300060      21.335800      5.00      5.00   358.000    69.000    54.630     -5.00    -10.00    0
   86     1.965     119.878166      -0.254870      21.335800      5.00      5.00   358.000    69.000    26.499      0.00    -10.00    0
   87     2.218     119.876602      -0.209680      21.335800      5.00      5.00   358.000    69.000   -12.441      5.00    -10.00    0
   88     2.943     119.875038      -0.164490      21.335800      5.00      5.00   358.000    69.000   -27.526     10.00    -10.00    0
   89     3.893     119.873466      -0.119300      21.335800      5.00      5.00   358.000    69.000   -36.126     15.00    -10.00    0
   90     4.345     119.871902      -0.074100      21.335800      5.00      5.00   358.000    69.000   -46.185     20.00    -10.00    0
   91     3.724     119.870331      -0.028910      21.335800      5.00      5.00   358.000    69.000   -57.378     25.00    -10.00    0
   92     3.472     119.868759       0.016280      21.335800      5.00      5.00   358.000    69.000   -52.823     30.00    -10.00    0
   93     3.179     119.867188       0.061470      21.335800      5.00      5.00   358.000    69.000   -31.542     35.00    -10.00    0
   94     2.659     119.865623       0.106660      21.335800      5.00      5.00   358.000    69.000   -19.236     40.00    -10.00    0
   95     2.648     119.864052       0.151850      21.335800      5.00      5.00   358.000    69.000   -25.567     45.00    -10.00    0
   96     2.149     119.862480       0.197040      21.335800      5.00      5.00   358.000    69.000   -31.216     50.00    -10.00    0
   97     0.090     119.920059      -1.927490      16.667900      5.00      5.00   358.000    69.000    35.938   -185.00     -5.00    0
   98     0.400     119.918488      -1.882300      16.667900      5.00      5.00   358.000    69.000   -85.513   -180.00     -5.00    0
   99     0.603     119.916924      -1.837110      16.667900      5.00      5.00   358.000    69.000   -92.530   -175.00     -5.00    0
  100     0.847     119.915352      -1.791920      16.667900      5.00      5.00   358.000    69.000   -49.567   -170.00     -5.00    0
  101     1.483     119.913788      -1.746730      16.667900      5.00      5.00   358.000    69.000   -13.287   -165.00     -5.00    0
  102     2.100     119.912216      -1.701540      16.667900      5.00      5.00   358.000    69.000     2.074   -160.00     -5.00    0
  103     2.455     119.910652      -1.656350      16.667900      5.00      5.00   358.000    69.000     7.020   -155.00     -5.00    0
  104     2.340     119.909081      -1.611160      16.667900      5.00      5.00   358.000    69.000     6.304   -150.00     -5.00    0
