   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
    1     37.00      0.00     0.195     119.952240      -1.926360      26.003710      5.00      5.00    54.907    74.778  -123.050   -185.00    -15.00      0.50
    2     36.00      0.00     0.253     119.950684      -1.881170      26.003710      5.00      5.00   -25.690    12.126    17.960   -180.00    -15.00      0.50
    3     35.00      0.00     0.489     119.949112      -1.835980      26.003710      5.00      5.00    29.426     7.826    62.550   -175.00    -15.00      0.50
    4     35.00      0.00     0.506     119.947540      -1.790790      26.003710      5.00      5.00     8.870    16.813    38.741   -170.00    -15.00      0.50
    5     33.00      0.00     0.502     119.945969      -1.745600      26.003710      5.00      5.00    11.781    26.545    39.152   -165.00    -15.00      0.50
    6     32.00      0.00     0.537     119.944397      -1.700410      26.003710      5.00      5.00    13.995    48.324    26.396   -160.00    -15.00      0.50
    7     32.00      0.00     0.617     119.942841      -1.655220      26.003710      5.00      5.00    19.334    50.623    27.339   -155.00    -15.00      0.50
    8     30.00      0.00     0.721     119.941269      -1.610030      26.003710      5.00      5.00    22.189    60.664    35.163   -150.00    -15.00      0.50
    9     30.00      0.00     0.682     119.939697      -1.564840      26.003710      5.00      5.00    20.913    66.691    36.883   -145.00    -15.00      0.50
   10     28.00      0.00     0.640     119.938133      -1.519650      26.003710      5.00      5.00    13.939    70.535    29.598   -140.00    -15.00      0.50
   11     27.00      0.00     0.633     119.936562      -1.474460      26.003710      5.00      5.00   182.380    83.035    12.886   -135.00    -15.00      0.50
   12     26.00      0.00     0.680     119.934998      -1.429270      26.003710      5.00      5.00   172.286    84.875     9.964   -130.00    -15.00      0.50
   13     26.00      0.00     0.791     119.933434      -1.384080      26.003710      5.00      5.00   164.570    86.214     9.603   -125.00    -15.00      0.50
   14     25.00      0.00     0.842     119.931862      -1.338890      26.003710      5.00      5.00   341.539    84.305    -4.579   -120.00    -15.00      0.50
   15     23.00      0.00     0.854     119.930290      -1.293690      26.003710      5.00      5.00   340.675    72.602    -3.804   -115.00    -15.00      0.50
   16     22.00      0.00     0.851     119.928726      -1.248500      26.003710      5.00      5.00   343.055    79.408    -5.525   -110.00    -15.00      0.50
   17     22.00      0.00     0.809     119.927162      -1.203310      26.003710      5.00      5.00   347.843    85.548   -10.877   -105.00    -15.00      0.50
   18     21.00      0.00     0.838     119.925591      -1.158120      26.003710      5.00      5.00   356.004    89.215   -16.272   -100.00    -15.00      0.50
   19     19.00      0.00     0.817     119.924026      -1.112930      26.003710      5.00      5.00   182.082    75.255    28.018    -95.00    -15.00      0.50
   20     18.00      0.00     0.838     119.922462      -1.067740      26.003710      5.00      5.00   177.089    83.199    29.029    -90.00    -15.00      0.50
   21     17.00      0.00     0.879     119.920891      -1.022550      26.003710      5.00      5.00   175.570    89.654    36.539    -85.00    -15.00      0.50
   22     16.00      0.00     0.943     119.919319      -0.977360      26.003710      5.00      5.00   350.991    87.808   -43.317    -80.00    -15.00      0.50
   23     16.00      0.00     1.044     119.917763      -0.932170      26.003710      5.00      5.00   337.555    73.403   -27.190    -75.00    -15.00      0.50
   24     15.00      0.00     1.255     119.916191      -0.886980      26.003710      5.00      5.00   335.279    66.656   -18.810    -70.00    -15.00      0.50
   25     14.00      0.00     1.274     119.914619      -0.841790      26.003710      5.00      5.00   339.363    69.832    -8.532    -65.00    -15.00      0.50
   26     13.00      0.00     1.195     119.913063      -0.796600      26.003710      5.00      5.00   342.722    75.545    -3.409    -60.00    -15.00      0.50
   27     11.00      0.00     1.081     119.911491      -0.751410      26.003710      5.00      5.00   166.383    89.096    -9.066    -55.00    -15.00      0.50
   28     10.00      0.00     1.010     119.909920      -0.706210      26.003710      5.00      5.00   170.128    84.895   -13.725    -50.00    -15.00      0.50
   29      9.00      0.00     0.995     119.908363      -0.661020      26.003710      5.00      5.00   170.569    88.763   -15.583    -45.00    -15.00      0.50
   30      9.00      0.00     0.959     119.906792      -0.615830      26.003710      5.00      5.00   353.378    82.819    13.930    -40.00    -15.00      0.50
   31      7.00      0.00     1.013     119.905220      -0.570640      26.003710      5.00      5.00   354.754    65.941    13.249    -35.00    -15.00      0.50
   32      6.00      0.00     1.110     119.903664      -0.525450      26.003710      5.00      5.00   355.093    57.071    12.306    -30.00    -15.00      0.50
   33      6.00      0.00     1.110     119.902092      -0.480260      26.003710      5.00      5.00     2.510    47.544    20.137    -25.00    -15.00      0.50
   34      5.00      0.00     1.006     119.900528      -0.435070      26.003710      5.00      5.00    16.289    43.190    38.562    -20.00    -15.00      0.50
   35      4.00      0.00     1.021     119.898956      -0.389880      26.003710      5.00      5.00    20.598    48.562    37.410    -15.00    -15.00      0.50
   36      3.00      0.00     0.877     119.897392      -0.344690      26.003710      5.00      5.00    11.193    60.285    33.222    -10.00    -15.00      0.50
   37      3.00      0.00     0.821     119.895828      -0.299500      26.003710      5.00      5.00     3.056    70.472    19.286     -5.00    -15.00      0.50
   38      3.00      0.00     0.809     119.894257      -0.254300      26.003710      5.00      5.00     6.508    71.796    16.392      0.00    -15.00      0.50
   39      3.00      0.00     0.839     119.892693      -0.209110      26.003710      5.00      5.00    13.115    66.398    15.964      5.00    -15.00      0.50
   40      4.00      0.00     0.853     119.891121      -0.163920      26.003710      5.00      5.00    14.690    65.194     6.445     10.00    -15.00      0.50
   41      4.00      0.00     0.863     119.889549      -0.118730      26.003710      5.00      5.00    12.360    63.366    -2.773     15.00    -15.00      0.50
   42      5.00      0.00     0.863     119.887978      -0.073540      26.003710      5.00      5.00     1.099    61.337   -24.792     20.00    -15.00      0.50
   43      5.00      0.00     0.677     119.886414      -0.028350      26.003710      5.00      5.00     6.679    73.116   -47.555     25.00    -15.00      0.50
   44      6.00      0.00     0.587     119.884850       0.016840      26.003710      5.00      5.00   219.080    84.326    72.836     30.00    -15.00      0.50
   45      7.00      0.00     0.280     119.883278       0.062030      26.003710      5.00      5.00    37.855    35.567    61.199     35.00    -15.00      0.50
   46      8.00      0.00     0.463     119.881706       0.107230      26.003710      5.00      5.00   197.917    47.589    89.393     40.00    -15.00      0.50
   47      9.00      0.00     0.443     119.880142       0.152420      26.003710      5.00      5.00   335.526    62.828    34.136     45.00    -15.00      0.50
   48     11.00      0.00     0.366     119.878571       0.197610      26.003710      5.00      5.00   337.207    68.755    39.149     50.00    -15.00      0.50
