    1   -0.073130    0.826867   -0.357040    0.451840   -0.094800   -0.331200   -0.082660   -0.567320   341.03    86.45    52.52    70.87   -24.39  -139.91
    2   -0.262497    0.206848   -1.171700    1.483940   -0.312240   -1.293540   -0.152300   -2.440960   346.70    86.22    56.77    75.83   -17.02  -145.58
    3    0.034182   -0.241483   -1.548200    1.965000   -0.416800   -2.162560   -0.296320   -5.228480   352.23    86.35    65.02    81.22    -9.69  -154.71
    4    0.920267   -0.464592   -1.520820    1.677680   -0.156860   -2.564600   -0.165260   -8.920718   356.71    87.92    73.13    86.01    -4.17  -163.09
    5    1.726787   -0.705121   -0.076576    0.081308   -0.004732   -0.302912    0.033024   -1.292186   359.17   269.08    76.88    89.61     0.40   166.88
    6    1.150764   -0.703484    0.016250    0.010058   -0.026308   -0.385088    0.096732   -1.620154     0.08   269.32    76.71    86.77     3.32   166.69
    7    0.206480   -0.383169   -0.020090    0.082064   -0.061974   -0.535324    0.097932   -1.801344   359.30   268.55    73.66    87.45     2.66   163.64
    8   -1.680722   -0.075964   -0.160122    0.262448   -0.102326   -0.675756   -0.044702   -1.845716   356.89    87.80    69.69    87.55    -2.62  -159.68
    9   -4.161009    0.001660   -0.257138    0.363352   -0.106214   -0.771460   -0.247522   -1.805472   354.64    88.12    66.16    82.16    -8.58  -155.92
   10   -6.408089    0.121395   -0.232090    0.328256   -0.096166   -0.843830   -0.311478   -1.699199   354.13    88.53    63.31    81.32    -9.72  -152.98
   11   -7.290979    0.117981   -0.155262    0.266850   -0.111588   -0.933892   -0.182708   -1.518550   354.81    87.93    58.32    84.95    -5.94  -148.18
   12   -9.881788    0.005243   -0.143802    0.342756   -0.198954   -1.023092   -0.036462   -1.303020   353.96    85.86    52.14    87.56    -3.09  -142.10
   13  -14.726920    0.230731   -0.209940    0.562342   -0.352402   -1.048602    0.048866   -1.112780   350.13    82.59    48.42    87.24    -3.70  -138.36
   14  -21.998854    0.618251   -3.727360    9.286841   -5.559482   -9.606221    0.574540   -9.897262   342.93    77.23    50.53    84.79    -6.75  -140.33
   15  -27.100901    0.223427   -0.502972    1.267376   -0.764404   -0.774002   -0.002332   -0.938326   337.00    70.38    59.03    84.39    -6.54  -148.86
   16  -31.031403    0.130671   -0.530680    1.458202   -0.927522   -0.597338   -0.074864   -0.975606   334.70    66.83    66.92    85.01    -5.43  -156.82
   17  -34.005890   -0.149148   -0.455884    1.452674   -0.996790   -0.487680   -0.105894   -1.099962   335.88    67.14    71.89    86.18    -4.02  -161.85
   18  -36.907108   -0.253674   -0.296696    1.237544   -0.940848   -0.433576   -0.130512   -1.257472   339.38    70.24    74.05    86.99    -3.13  -164.02
   19  -40.405624    0.005069   -0.245086    0.997802   -0.752716   -0.413146   -0.225752   -1.402904   343.25    75.08    73.52    83.83    -6.44  -163.42
   20  -43.503872    0.051155   -0.281636    0.759104   -0.477468   -0.421640   -0.299968   -1.502836   347.35    80.50    72.48    80.12   -10.36  -162.20
   21  -47.197083   -0.183552   -0.353942    0.578534   -0.224592   -0.415768   -0.314116   -1.544270   350.77    84.87    72.00    77.58   -13.08  -161.55
   22  -52.632023   -0.219207   -0.440654    0.530988   -0.090334   -0.337896   -0.258960   -1.553421   352.53    86.41    73.46    77.16   -13.40  -163.02
   23  -60.794319   -0.070645   -0.430956    0.526768   -0.095812   -0.233740   -0.172598   -1.542890   353.31    85.45    77.65    80.34    -9.89  -167.47
   24  -70.651154   -0.295040   -0.274198    0.549786   -0.275588   -0.111362   -0.126728   -1.481616   351.92    82.53    83.88    84.38    -5.65  -173.85
   25  -81.091461   -0.643887   -0.075658    0.675372   -0.599714    0.032374   -0.144034   -1.326976   347.14    77.18    89.55    84.24    -5.76  -179.54
   26  -90.808830   -0.732107    0.044020    0.888280   -0.932300    0.113452   -0.180722   -1.128260   160.71    70.41    87.88    81.76     8.25   177.86
   27  -98.650658   -0.393213    0.153512    0.967480   -1.120992    0.072950   -0.152588   -0.976398   156.65    66.49    88.66    83.05     6.95   178.65
   28 -106.314301   -0.011016    0.235348    0.875052   -1.110400   -0.043124   -0.070636   -0.877188   335.70    65.76    87.40    88.68    -1.32  -177.40
   29 -114.993965   -0.087206    2.019560    7.614179   -9.633739   -1.427140   -0.506800   -8.120580   336.75   246.41    82.13    87.57     2.45   172.13
   30 -123.446869    0.164863    1.142440    6.115281   -7.257720   -1.789920   -0.980140   -7.565621   339.20   249.13    78.61    89.63     0.38   168.61
   31 -133.683990    0.506432    0.982880    3.167119   -4.149999   -1.598440   -0.770460   -7.134936   346.27    76.33    77.84    89.71    -0.29  -167.84
   32 -142.299744   -0.492126    1.791620   -1.074802   -0.716818   -1.530440    0.208060   -6.861943   269.60     1.39    83.31    75.12   165.01     6.93
   33 -143.856964   -1.182143    2.717601   -4.938582    2.220982   -2.073019    0.618120   -6.682101   281.62    15.39    80.00    69.55   159.22    10.68
   34 -143.774246   -0.944666    2.740279   -6.390480    3.650201   -2.722340    0.186439   -6.588641   286.95    18.78    85.01    69.84   159.76     5.32
   35 -144.849228   -0.670544    1.955040   -5.315338    3.360298   -2.966299   -0.303520   -6.360360   106.40    16.39    89.97    70.28  -160.28    -0.03
   36 -146.922745   -0.679421    1.316079   -3.371638    2.055559   -2.512519   -0.115159   -5.746280   281.71    12.22    88.70    68.60   158.59     1.40
   37 -149.566620   -0.404333    0.814939   -1.463858    0.648919   -1.571120    0.629281   -4.704759   274.67     7.65    81.80    70.18   159.97     8.72
   38 -153.975906   -0.104649    0.283719    0.172101   -0.455821   -0.569459    1.105520   -3.351839   358.75   265.83    81.35    71.48    18.74   170.88
   39 -157.228592   -0.936392   -0.310500    1.307461   -0.996960    0.016520    0.962100   -1.900159   162.53   256.13    81.58    67.01   -23.26  -170.85
   40 -158.849701   -2.230631   -0.420580    1.181279   -0.760699    0.048440    0.424480   -0.726859   149.81   246.67    72.96    68.71   -22.32  -161.67
